                                   | Core 0     
  Instructions                     |   799999951
  Cycles                           |  1944378280
  IPC                              |        0.41
  Time (ns)                        |   747837800
  Idle time (ns)                   |         -83
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   106029152
  num incorrect                    |     3523483
  misprediction rate               |       3.22%
  mpki                             |        4.40
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
  L2 TLB                           |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |    38065060
    num cache misses               |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
DRAM summary                       |            
  num dram accesses                |    25928523
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    16515347
  num loads from dram cache        |           0
  num loads from remote cache      |           0
