                                   | Core 0      
  Instructions                     |    799999920
  Cycles                           |  10692629740
  IPC                              |         0.07
  Time (ns)                        |   4112549900
  Idle time (ns)                   |          -94
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    176034558
  num incorrect                    |     15587799
  misprediction rate               |        8.13%
  mpki                             |        19.48
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
  L2 TLB                           |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    160959042
    num cache misses               |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
DRAM summary                       |             
  num dram accesses                |    153737665
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    140015766
  num loads from dram cache        |            0
  num loads from remote cache      |            0
