                                   | Core 0      
  Instructions                     |    799999883
  Cycles                           |  11122711340
  IPC                              |         0.07
  Time (ns)                        |   4277965900
  Idle time (ns)                   |          -46
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    142121034
  num incorrect                    |      4702169
  misprediction rate               |        3.20%
  mpki                             |         5.88
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
  L2 TLB                           |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    153518124
    num cache misses               |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
DRAM summary                       |             
  num dram accesses                |    126537308
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    104309871
  num loads from dram cache        |            0
  num loads from remote cache      |            0
