                                   | Core 0    
  Instructions                     |  799999803
  Cycles                           |  854065160
  IPC                              |       0.94
  Time (ns)                        |  328486600
  Idle time (ns)                   |        -39
  Idle time (%)                    |      -0.0%
Branch predictor stats             |           
  num correct                      |   62128092
  num incorrect                    |      55922
  misprediction rate               |      0.09%
  mpki                             |       0.07
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |          0
    num misses                     |          0
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |          0
    num misses                     |          0
    miss rate                      |      0.00%
    mpki                           |       0.00
  L2 TLB                           |           
    num accesses                   |          0
    num misses                     |          0
    miss rate                      |      0.00%
    mpki                           |       0.00
Cache Summary                      |           
  NUCA cache                       |           
    num cache accesses             |  121661148
    num cache misses               |          0
    miss rate                      |      0.00%
    mpki                           |       0.00
DRAM summary                       |           
  num dram accesses                |   60719854
  average dram access latency (ns) |       0.00
  average dram queueing delay      |       0.00
Coherency Traffic                  |           
  num loads from dram              |   60714328
  num loads from dram cache        |          0
  num loads from remote cache      |          0
