                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999873 |   499999857 |   499999873 |   499999857
  Cycles                           |  3485203540 |  3485203540 |  3485203540 |  3485203540
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |  1340462900 |  1340462900 |  1340462900 |  1340462900
  Idle time (ns)                   |        -100 |         -58 |        -103 |        -100
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   107540856 |   107540852 |   107540856 |   107540852
  num incorrect                    |     7113242 |     7113242 |     7113242 |     7113242
  misprediction rate               |       6.20% |       6.20% |       6.20% |       6.20%
  mpki                             |       14.23 |       14.23 |       14.23 |       14.23
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    48873363 |    44009462 |    48015123 |    52479053
    num cache misses               |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |            
  num dram accesses                |    49911187 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |     9934033 |    11550138 |    11646076 |    10493097
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    18901314 |    20958126 |    21063787 |    19462727
