                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999860 |   499999857 |   499999857 |   499999857
  Cycles                           |  3485580020 |  3485580020 |  3485580020 |  3485580020
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |  1340607700 |  1340607700 |  1340607700 |  1340607700
  Idle time (ns)                   |        -102 |         -51 |        -100 |        -100
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   107540852 |   107540852 |   107540852 |   107540852
  num incorrect                    |     7113242 |     7113242 |     7113242 |     7113242
  misprediction rate               |       6.20% |       6.20% |       6.20% |       6.20%
  mpki                             |       14.23 |       14.23 |       14.23 |       14.23
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    48871884 |    44009603 |    48014298 |    52479404
    num cache misses               |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |            
  num dram accesses                |    49913388 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |     9926523 |    11560121 |    11636807 |    10497524
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    18925074 |    20920088 |    21101441 |    19441368
