                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999863 |   499999867 |   499999863 |   499999863
  Cycles                           |  3602227200 |  3602227200 |  3602227200 |  3602227200
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |  1385472000 |  1385472000 |  1385472000 |  1385472000
  Idle time (ns)                   |        -101 |        -101 |         -90 |        -101
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    92335421 |    92335421 |    92335421 |    92335421
  num incorrect                    |     2474203 |     2474203 |     2474203 |     2474203
  misprediction rate               |       2.61% |       2.61% |       2.61% |       2.61%
  mpki                             |        4.95 |        4.95 |        4.95 |        4.95
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    55777063 |    55922256 |    55516548 |    56000880
    num cache misses               |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |            
  num dram accesses                |    94071236 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    14647558 |    15905758 |    15841192 |    14477801
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    19420321 |    20311286 |    20128670 |    19590054
