                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  124999964 |  124999800 |  124999984 |  124999934 |  124999960 |  124999956 |  124999937 |  124999941
  Cycles                           |  130847080 |  130847080 |  130847080 |  130847080 |  130847080 |  130847080 |  130847080 |  130847080
  IPC                              |       0.96 |       0.96 |       0.96 |       0.96 |       0.96 |       0.96 |       0.96 |       0.96
  Time (ns)                        |   50325800 |   50325800 |   50325800 |   50325800 |   50325800 |   50325800 |   50325800 |   50325800
  Idle time (ns)                   |       -100 |        -24 |       -101 |       -100 |       -101 |       -102 |       -107 |       -104
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   14312208 |   14312186 |   14312213 |   14312206 |   14312207 |   14312206 |   14312206 |   14312206
  num incorrect                    |        650 |        650 |        650 |        650 |        650 |        650 |        650 |        650
  misprediction rate               |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    4634461 |    4357760 |    2069615 |    2074070 |    2105368 |    2617146 |    3215929 |    4923712
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    4722988 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |       9281 |      33246 |      63860 |      92185 |     106599 |     104851 |      60386 |      30029
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    1632168 |    1545085 |    1491518 |    1464009 |    1395691 |    1385423 |    1393600 |    1444314
