                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  125000545 |  125000401 |  125000545 |  125000447 |  125000447 |  125000454 |  124999978 |  125000447
  Cycles                           |  273681720 |  273681720 |  273681720 |  273681720 |  273681720 |  273681720 |  273681720 |  273681720
  IPC                              |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46
  Time (ns)                        |  105262200 |  105262200 |  105262200 |  105262200 |  105262200 |  105262200 |  105262200 |  105262200
  Idle time (ns)                   |       -135 |       -102 |       -112 |       -176 |       -169 |       -100 |        -95 |       -193
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   41925055 |   41925007 |   41925055 |   41925019 |   41925019 |   41925045 |   41924852 |   41925019
  num incorrect                    |    5194158 |    5194154 |    5194158 |    5194155 |    5194155 |    5194156 |    5194149 |    5194155
  misprediction rate               |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02%
  mpki                             |      41.55 |      41.55 |      41.55 |      41.55 |      41.55 |      41.55 |      41.55 |      41.55
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    4071752 |    4128812 |    4164029 |    4186235 |    4232135 |    4259805 |    4299242 |    4375519
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    4390512 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     163475 |     251612 |     305214 |     330387 |     328021 |     298193 |     242738 |     157614
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |     486610 |     549178 |     592351 |     619393 |     611988 |     587133 |     530659 |     457574
