                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   187500098 |   187500043 |   187500043 |   187500122 |   187500098 |   187500098 |   187500043 |   187499983
  Cycles                           |  1364549680 |  1364549680 |  1364549680 |  1364549680 |  1364549680 |  1364549680 |  1364549680 |  1364549680
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |   524826800 |   524826800 |   524826800 |   524826800 |   524826800 |   524826800 |   524826800 |   524826800
  Idle time (ns)                   |        -104 |        -101 |        -101 |        -360 |        -128 |        -235 |        -100 |         -24
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    34993783 |    34993776 |    34993778 |    34993788 |    34993783 |    34993783 |    34993779 |    34993767
  num incorrect                    |     3543515 |     3543513 |     3543514 |     3543516 |     3543515 |     3543515 |     3543514 |     3543512
  misprediction rate               |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20%
  mpki                             |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    37408416 |    23064894 |    24610455 |    23390172 |    23216593 |    23420261 |    23059861 |    46664686
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    27489743 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     1369119 |     2238008 |     2870351 |     3133912 |     3104099 |     2776219 |     2167677 |     1388145
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     5345583 |     6185802 |     6533278 |     6695522 |     6777446 |     6705508 |     6432763 |     5822245
