                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   187500064 |   187499979 |   187500064 |   187500033 |   187500031 |   187500064 |   187500064 |   187500064
  Cycles                           |  1486462900 |  1486462900 |  1486462900 |  1486462900 |  1486462900 |  1486462900 |  1486462900 |  1486462900
  IPC                              |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13
  Time (ns)                        |   571716500 |   571716500 |   571716500 |   571716500 |   571716500 |   571716500 |   571716500 |   571716500
  Idle time (ns)                   |        -101 |         -65 |        -283 |        -100 |        -100 |        -101 |        -100 |        -112
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    38562092 |    38562079 |    38562090 |    38562090 |    38562087 |    38562092 |    38562094 |    38562090
  num incorrect                    |     3715827 |     3715825 |     3715827 |     3715826 |     3715826 |     3715827 |     3715827 |     3715827
  misprediction rate               |       8.79% |       8.79% |       8.79% |       8.79% |       8.79% |       8.79% |       8.79% |       8.79%
  mpki                             |       19.82 |       19.82 |       19.82 |       19.82 |       19.82 |       19.82 |       19.82 |       19.82
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    39297265 |    26815789 |    26827200 |    27223065 |    27623334 |    27784173 |    27507458 |    28733710
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    29924824 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     1638754 |     2676410 |     3337048 |     3661589 |     3663248 |     3333102 |     2679541 |     1687820
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4612440 |     5610591 |     6207789 |     6483439 |     6447907 |     6180507 |     5568886 |     4648489
