                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   187500043 |   187499983 |   187499983 |   187500043 |   187500043 |   187499983 |   187499983 |   187499983
  Cycles                           |  1364663560 |  1364663560 |  1364663560 |  1364663560 |  1364663560 |  1364663560 |  1364663560 |  1364663560
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |   524870600 |   524870600 |   524870600 |   524870600 |   524870600 |   524870600 |   524870600 |   524870600
  Idle time (ns)                   |        -260 |        -100 |        -100 |        -123 |        -189 |        -101 |        -101 |         -17
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    34993774 |    34993769 |    34993769 |    34993774 |    34993774 |    34993769 |    34993769 |    34993767
  num incorrect                    |     3543513 |     3543512 |     3543512 |     3543513 |     3543513 |     3543512 |     3543512 |     3543512
  misprediction rate               |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20%
  mpki                             |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    37372144 |    23059926 |    24607634 |    23388338 |    23214693 |    23413020 |    23058249 |    46658332
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    27494107 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     1374907 |     2242766 |     2870663 |     3133708 |     3102572 |     2773413 |     2163696 |     1387488
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     5329633 |     6216834 |     6514464 |     6699271 |     6782833 |     6697220 |     6424627 |     5844868
