                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   187499967 |   187500007 |   187500007 |   187500076 |   187500076 |   187500076 |   187500076 |   187500007
  Cycles                           |  1297735660 |  1297735660 |  1297735660 |  1297735660 |  1297735660 |  1297735660 |  1297735660 |  1297735660
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |   499129100 |   499129100 |   499129100 |   499129100 |   499129100 |   499129100 |   499129100 |   499129100
  Idle time (ns)                   |         -62 |        -124 |        -101 |        -210 |        -299 |        -231 |        -239 |        -102
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    40693322 |    40693322 |    40693322 |    40693333 |    40693333 |    40693333 |    40693333 |    40693324
  num incorrect                    |     2669272 |     2669273 |     2669273 |     2669274 |     2669274 |     2669274 |     2669274 |     2669273
  misprediction rate               |       6.16% |       6.16% |       6.16% |       6.16% |       6.16% |       6.16% |       6.16% |       6.16%
  mpki                             |       14.24 |       14.24 |       14.24 |       14.24 |       14.24 |       14.24 |       14.24 |       14.24
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    19062349 |    19134463 |    19101925 |    30734454 |    25997013 |    19120851 |    25630770 |    19133406
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    15955534 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |      568635 |     1610266 |     2231266 |     2596418 |     2523300 |     2126814 |     1544402 |      544500
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2326989 |     3947989 |     5062687 |     5803715 |     5637862 |     5238015 |     4044146 |     2450728
