                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  187499878 |  187499933 |  187499930 |  187499856 |  187499828 |  187499915 |  187499862 |  187499865
  Cycles                           |  228223580 |  228223580 |  228223580 |  228223580 |  228223580 |  228223580 |  228223580 |  228223580
  IPC                              |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82 |       0.82
  Time (ns)                        |   87778300 |   87778300 |   87778300 |   87778300 |   87778300 |   87778300 |   87778300 |   87778300
  Idle time (ns)                   |       -111 |       -118 |       -105 |       -110 |       -118 |       -101 |       -100 |        -96
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   12793667 |   12793667 |   12793667 |   12793667 |   12793665 |   12793667 |   12793665 |   12793664
  num incorrect                    |     471374 |     471374 |     471374 |     471374 |     471374 |     471374 |     471374 |     471374
  misprediction rate               |      3.55% |      3.55% |      3.55% |      3.55% |      3.55% |      3.55% |      3.55% |      3.55%
  mpki                             |       2.51 |       2.51 |       2.51 |       2.51 |       2.51 |       2.51 |       2.51 |       2.51
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    5840941 |    5559085 |    6403713 |    5862923 |    5981640 |    6156767 |    6107219 |    7147178
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    3705225 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     186806 |     346299 |     498253 |     576284 |     612754 |     574387 |     421266 |     251272
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |     850109 |    1191904 |    1418139 |    1538249 |    1572430 |    1556937 |    1302946 |     993732
