                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   799999873 |   799999994 |   799999994 |   799999994 |   799999994 |   799999994 |   799999994 |   799999958
  Cycles                           |  1744126280 |  1744126280 |  1744126280 |  1744126280 |  1744126280 |  1744126280 |  1744126280 |  1744126280
  IPC                              |        0.46 |        0.46 |        0.46 |        0.46 |        0.46 |        0.46 |        0.46 |        0.46
  Time (ns)                        |   670817800 |   670817800 |   670817800 |   670817800 |   670817800 |   670817800 |   670817800 |   670817800
  Idle time (ns)                   |         -31 |          73 |          71 |          -3 |          29 |          75 |          87 |         -16
  Idle time (%)                    |       -0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |   268273648 |   268273686 |   268273686 |   268273685 |   268273686 |   268273686 |   268273686 |   268273675
  num incorrect                    |    33282788 |    33282796 |    33282796 |    33282796 |    33282796 |    33282796 |    33282796 |    33282793
  misprediction rate               |      11.04% |      11.04% |      11.04% |      11.04% |      11.04% |      11.04% |      11.04% |      11.04%
  mpki                             |       41.60 |       41.60 |       41.60 |       41.60 |       41.60 |       41.60 |       41.60 |       41.60
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    26241509 |    26565653 |    26769910 |    26947239 |    27256545 |    27405400 |    27681555 |    28161655
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    27994834 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |      977848 |     1543737 |     1898183 |     2063430 |     2045134 |     1854517 |     1490558 |      942208
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     3301336 |     3645778 |     3842067 |     3925859 |     3890090 |     3729726 |     3431099 |     2976315
