                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  249999980 |  249999880 |  249999840 |  249999880 |  249999952 |  249999946 |  249999825 |  249999952
  Cycles                           |  354569540 |  354569540 |  354569540 |  354569540 |  354569540 |  354569540 |  354569540 |  354569540
  IPC                              |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71
  Time (ns)                        |  136372900 |  136372900 |  136372900 |  136372900 |  136372900 |  136372900 |  136372900 |  136372900
  Idle time (ns)                   |       -177 |       -113 |        -88 |       -114 |       -111 |       -100 |       -100 |       -121
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   31240040 |   31240024 |   31240011 |   31240024 |   31240036 |   31240035 |   31240018 |   31240036
  num incorrect                    |     481395 |     481395 |     481395 |     481395 |     481395 |     481395 |     481395 |     481395
  misprediction rate               |      1.52% |      1.52% |      1.52% |      1.52% |      1.52% |      1.52% |      1.52% |      1.52%
  mpki                             |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   14209955 |   14519534 |    5223044 |    5223932 |    5313373 |    7823639 |    9853003 |   16855900
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    8013164 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |      91115 |     202200 |     277850 |     342113 |     366602 |     355635 |     225057 |      95464
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    4892273 |    4665672 |    4589305 |    4527855 |    4481909 |    4459471 |    4519299 |    4653232
