                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999954 |   250000101 |   250000101 |   250000078 |   250000101 |   250000101 |   250000101 |   250000101
  Cycles                           |  1913596360 |  1913596360 |  1913596360 |  1913596360 |  1913596360 |  1913596360 |  1913596360 |  1913596360
  IPC                              |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13
  Time (ns)                        |   735998600 |   735998600 |   735998600 |   735998600 |   735998600 |   735998600 |   735998600 |   735998600
  Idle time (ns)                   |         -59 |        -127 |        -131 |        -290 |        -244 |        -141 |        -181 |        -164
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    47308272 |    47308291 |    47308291 |    47308287 |    47308291 |    47308291 |    47308291 |    47308291
  num incorrect                    |     5069381 |     5069384 |     5069384 |     5069383 |     5069384 |     5069384 |     5069384 |     5069384
  misprediction rate               |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68%
  mpki                             |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    49092122 |    31626360 |    33743312 |    32041682 |    31841721 |    32085278 |    31634650 |    64192578
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    36901990 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     1914906 |     3088306 |     3940453 |     4286680 |     4245757 |     3791148 |     2952185 |     1912240
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     6861588 |     8244131 |     8625669 |     8929700 |     9035842 |     8964578 |     8618548 |     7660964
