                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999925 |   249999931 |   249999934 |   249999939 |   249999958 |   249999925 |   249999953 |   249999925
  Cycles                           |  2019195620 |  2019195620 |  2019195620 |  2019195620 |  2019195620 |  2019195620 |  2019195620 |  2019195620
  IPC                              |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12
  Time (ns)                        |   776613700 |   776613700 |   776613700 |   776613700 |   776613700 |   776613700 |   776613700 |   776613700
  Idle time (ns)                   |         -14 |        -103 |        -101 |        -101 |        -100 |        -100 |        -102 |        -103
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    52085430 |    52085448 |    52085447 |    52085450 |    52085450 |    52085430 |    52085450 |    52085430
  num incorrect                    |     4993948 |     4993948 |     4993948 |     4993948 |     4993948 |     4993948 |     4993948 |     4993948
  misprediction rate               |       8.75% |       8.75% |       8.75% |       8.75% |       8.75% |       8.75% |       8.75% |       8.75%
  mpki                             |       19.98 |       19.98 |       19.98 |       19.98 |       19.98 |       19.98 |       19.98 |       19.98
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    52407507 |    37009627 |    37029263 |    37495158 |    38009732 |    38193924 |    37854653 |    39684617
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    40499581 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     2270217 |     3671028 |     4575716 |     5021575 |     5020839 |     4585009 |     3704699 |     2356214
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     6046454 |     7451134 |     8218981 |     8577737 |     8556348 |     8196588 |     7403261 |     6151445
