                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999954 |   250000101 |   250000078 |   250000101 |   250000101 |   250000101 |   250000101 |   250000078
  Cycles                           |  1913981420 |  1913981420 |  1913981420 |  1913981420 |  1913981420 |  1913981420 |  1913981420 |  1913981420
  IPC                              |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13 |        0.13
  Time (ns)                        |   736146700 |   736146700 |   736146700 |   736146700 |   736146700 |   736146700 |   736146700 |   736146700
  Idle time (ns)                   |         -59 |        -215 |        -144 |        -108 |        -120 |        -290 |        -163 |        -325
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    47308272 |    47308291 |    47308287 |    47308291 |    47308291 |    47308291 |    47308291 |    47308287
  num incorrect                    |     5069381 |     5069384 |     5069383 |     5069384 |     5069384 |     5069384 |     5069384 |     5069383
  misprediction rate               |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68%
  mpki                             |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    49063037 |    31620938 |    33736773 |    32033956 |    31835224 |    32080298 |    31628001 |    64218101
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    36894869 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     1909303 |     3085746 |     3936336 |     4291534 |     4244726 |     3796367 |     2959549 |     1908267
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     6926024 |     8281810 |     8641750 |     8932877 |     9027101 |     8955087 |     8613604 |     7713970
