                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   250000045 |   249999964 |   250000045 |   250000045 |   249999957 |   250000045 |   250000045 |   250000045
  Cycles                           |  1733034940 |  1733034940 |  1733034940 |  1733034940 |  1733034940 |  1733034940 |  1733034940 |  1733034940
  IPC                              |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14 |        0.14
  Time (ns)                        |   666551900 |   666551900 |   666551900 |   666551900 |   666551900 |   666551900 |   666551900 |   666551900
  Idle time (ns)                   |        -325 |        -100 |        -323 |        -260 |         -47 |        -295 |        -298 |        -299
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    54184121 |    54184107 |    54184121 |    54184121 |    54184107 |    54184121 |    54184121 |    54184121
  num incorrect                    |     3611051 |     3611050 |     3611051 |     3611051 |     3611050 |     3611051 |     3611051 |     3611051
  misprediction rate               |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25%
  mpki                             |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    25296349 |    25384531 |    25351791 |    41224232 |    34636293 |    25381774 |    34115458 |    25380706
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    21080699 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |      763176 |     2128650 |     2960829 |     3467702 |     3372138 |     2834854 |     2046757 |      718640
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     3170589 |     5365316 |     6757898 |     7571412 |     7388622 |     6959021 |     5464880 |     3368074
