                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   250000067 |   250000077 |   249999962 |   250000077 |   250000077 |   250000077 |   250000077 |   250000077
  Cycles                           |  1331621720 |  1331621720 |  1331621720 |  1331621720 |  1331621720 |  1331621720 |  1331621720 |  1331621720
  IPC                              |        0.19 |        0.19 |        0.19 |        0.19 |        0.19 |        0.19 |        0.19 |        0.19
  Time (ns)                        |   512162200 |   512162200 |   512162200 |   512162200 |   512162200 |   512162200 |   512162200 |   512162200
  Idle time (ns)                   |        -153 |        -192 |         -21 |        -228 |        -172 |        -305 |        -167 |        -214
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    50845338 |    50845338 |    50845321 |    50845338 |    50845338 |    50845338 |    50845338 |    50845338
  num incorrect                    |      619852 |      619852 |      619850 |      619852 |      619852 |      619852 |      619852 |      619852
  misprediction rate               |       1.20% |       1.20% |       1.20% |       1.20% |       1.20% |       1.20% |       1.20% |       1.20%
  mpki                             |        2.48 |        2.48 |        2.48 |        2.48 |        2.48 |        2.48 |        2.48 |        2.48
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    28526625 |    28351196 |    28252426 |    28889004 |    28426980 |    28893300 |    28290806 |    28323026
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    55956212 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     2940105 |     3420093 |     3736623 |     3882316 |     3885913 |     3738076 |     3412562 |     2909029
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     8000659 |     8228006 |     8352290 |     8404457 |     8390845 |     8351054 |     8194014 |     7966640
