                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999876 |   249999792 |   249999892 |   249999892 |   249999897 |   249999913 |   249999897 |   249999909
  Cycles                           |  1166304880 |  1166304880 |  1166304880 |  1166304880 |  1166304880 |  1166304880 |  1166304880 |  1166304880
  IPC                              |        0.21 |        0.21 |        0.21 |        0.21 |        0.21 |        0.21 |        0.21 |        0.21
  Time (ns)                        |   448578800 |   448578800 |   448578800 |   448578800 |   448578800 |   448578800 |   448578800 |   448578800
  Idle time (ns)                   |        -101 |         -11 |        -102 |        -101 |        -106 |        -158 |        -104 |        -118
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    46727034 |    46727015 |    46727036 |    46727036 |    46727037 |    46727042 |    46727037 |    46727038
  num incorrect                    |     1521785 |     1521785 |     1521785 |     1521785 |     1521785 |     1521785 |     1521785 |     1521785
  misprediction rate               |       3.15% |       3.15% |       3.15% |       3.15% |       3.15% |       3.15% |       3.15% |       3.15%
  mpki                             |        6.09 |        6.09 |        6.09 |        6.09 |        6.09 |        6.09 |        6.09 |        6.09
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    29644461 |    29730039 |    29613950 |    38157312 |    33974987 |    29599633 |    29655745 |    29712205
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    26370237 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     1033394 |     2671101 |     3620587 |     4062745 |     4029871 |     3598221 |     2676182 |     1034449
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     3354989 |     5624112 |     6679633 |     7002536 |     6891202 |     6555761 |     5456200 |     3304400
