                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  249999983 |  250000157 |  249999983 |  249999983 |  249999983 |  250000157 |  250000160 |  250000157
  Cycles                           |  546037700 |  546037700 |  546037700 |  546037700 |  546037700 |  546037700 |  546037700 |  546037700
  IPC                              |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46 |       0.46
  Time (ns)                        |  210014500 |  210014500 |  210014500 |  210014500 |  210014500 |  210014500 |  210014500 |  210014500
  Idle time (ns)                   |        -95 |       -100 |        -34 |        -13 |         -3 |       -100 |       -102 |       -100
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   83859388 |   83859438 |   83859389 |   83859389 |   83859389 |   83859438 |   83859440 |   83859438
  num incorrect                    |   10380885 |   10380896 |   10380885 |   10380885 |   10380885 |   10380896 |   10380896 |   10380896
  misprediction rate               |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02%
  mpki                             |      41.52 |      41.52 |      41.52 |      41.52 |      41.52 |      41.52 |      41.52 |      41.52
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    8140083 |    8239319 |    8307281 |    8355478 |    8444870 |    8496117 |    8587908 |    8747051
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    8743314 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     316998 |     489350 |     597186 |     647654 |     643719 |     585875 |     475608 |     306212
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |     977566 |    1103869 |    1183612 |    1221434 |    1211997 |    1162160 |    1067537 |     930947
