                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  250000095 |  250000067 |  250000129 |  250000129 |  249999960 |  250000091 |  250000059 |  249999979
  Cycles                           |  301834000 |  301834000 |  301834000 |  301834000 |  301834000 |  301834000 |  301834000 |  301834000
  IPC                              |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83 |       0.83
  Time (ns)                        |  116090000 |  116090000 |  116090000 |  116090000 |  116090000 |  116090000 |  116090000 |  116090000
  Idle time (ns)                   |       -100 |       -100 |       -104 |       -102 |        -64 |       -100 |       -102 |       -100
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   17059560 |   17059544 |   17059568 |   17059568 |   17059521 |   17059559 |   17059540 |   17059527
  num incorrect                    |     626087 |     626087 |     626087 |     626087 |     626084 |     626087 |     626087 |     626084
  misprediction rate               |      3.54% |      3.54% |      3.54% |      3.54% |      3.54% |      3.54% |      3.54% |      3.54%
  mpki                             |       2.50 |       2.50 |       2.50 |       2.50 |       2.50 |       2.50 |       2.50 |       2.50
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    7773369 |    7413685 |    8526940 |    7817864 |    7962619 |    8205960 |    8149696 |    9423868
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    4705532 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     236121 |     444088 |     635977 |     737031 |     777418 |     722089 |     525255 |     309401
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    1128051 |    1594713 |    1890898 |    2044892 |    2088231 |    2053126 |    1697436 |    1282809
