                                   | Core 0      
  Instructions                     |    799999948
  Cycles                           |  15435231240
  IPC                              |         0.05
  Time (ns)                        |   5936627400
  Idle time (ns)                   |          -87
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    159601037
  num incorrect                    |     20958522
  misprediction rate               |       11.61%
  mpki                             |        26.20
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |    117316211
    num misses                     |           16
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    390879713
    num misses                     |     63898930
    miss rate                      |       16.35%
    mpki                           |        79.87
  L2 TLB                           |             
    num accesses                   |     63898946
    num misses                     |     60605733
    miss rate                      |       94.85%
    mpki                           |        75.76
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    187343838
    num cache misses               |     36724132
    miss rate                      |       19.60%
    mpki                           |        45.91
DRAM summary                       |             
  num dram accesses                |    182732562
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    154192064
  num loads from dram cache        |            0
  num loads from remote cache      |            0
