                                   | Core 0      
  Instructions                     |    799999963
  Cycles                           |  12305561580
  IPC                              |         0.07
  Time (ns)                        |   4732908300
  Idle time (ns)                   |           -9
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    171365887
  num incorrect                    |     10526845
  misprediction rate               |        5.79%
  mpki                             |        13.16
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     82189007
    num misses                     |           27
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    320445720
    num misses                     |     58869176
    miss rate                      |       18.37%
    mpki                           |        73.59
  L2 TLB                           |             
    num accesses                   |     58869203
    num misses                     |     49423649
    miss rate                      |       83.96%
    mpki                           |        61.78
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    134070810
    num cache misses               |     34804639
    miss rate                      |       25.96%
    mpki                           |        43.51
DRAM summary                       |             
  num dram accesses                |    131605165
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    124517261
  num loads from dram cache        |            0
  num loads from remote cache      |            0
