                                   | Core 0      
  Instructions                     |    799999883
  Cycles                           |  12594767900
  IPC                              |         0.06
  Time (ns)                        |   4844141500
  Idle time (ns)                   |           -3
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    142121034
  num incorrect                    |      4702169
  misprediction rate               |        3.20%
  mpki                             |         5.88
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     79296533
    num misses                     |           16
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    353480809
    num misses                     |     38282152
    miss rate                      |       10.83%
    mpki                           |        47.85
  L2 TLB                           |             
    num accesses                   |     38282168
    num misses                     |     34854635
    miss rate                      |       91.05%
    mpki                           |        43.57
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    173695336
    num cache misses               |     19977388
    miss rate                      |       11.50%
    mpki                           |        24.97
DRAM summary                       |             
  num dram accesses                |    152281279
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    124070912
  num loads from dram cache        |            0
  num loads from remote cache      |            0
