                                   | Core 0     
  Instructions                     |   799999994
  Cycles                           |  3113465680
  IPC                              |        0.26
  Time (ns)                        |  1197486800
  Idle time (ns)                   |         -68
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   268273686
  num incorrect                    |    33282796
  misprediction rate               |      11.04%
  mpki                             |       41.60
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |   128818521
    num misses                     |           2
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   277732016
    num misses                     |     5658839
    miss rate                      |       2.04%
    mpki                           |        7.07
  L2 TLB                           |            
    num accesses                   |     5658841
    num misses                     |     5433403
    miss rate                      |      96.02%
    mpki                           |        6.79
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |    36939686
    num cache misses               |     4358218
    miss rate                      |      11.80%
    mpki                           |        5.45
DRAM summary                       |            
  num dram accesses                |    35826756
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    19068612
  num loads from dram cache        |           0
  num loads from remote cache      |           0
