                                   | Core 0     
  Instructions                     |   799999795
  Cycles                           |  1701372400
  IPC                              |        0.47
  Time (ns)                        |   654374000
  Idle time (ns)                   |         -29
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    54601699
  num incorrect                    |     1990623
  misprediction rate               |       3.52%
  mpki                             |        2.49
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    79181600
    num misses                     |          28
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   248608054
    num misses                     |    13165046
    miss rate                      |       5.30%
    mpki                           |       16.46
  L2 TLB                           |            
    num accesses                   |    13165074
    num misses                     |    11804236
    miss rate                      |      89.66%
    mpki                           |       14.76
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |    33257128
    num cache misses               |     5076946
    miss rate                      |      15.27%
    mpki                           |        6.35
DRAM summary                       |            
  num dram accesses                |    32878817
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    31609675
  num loads from dram cache        |           0
  num loads from remote cache      |           0
