                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999785 |   500000041 |   500000042 |   500000042
  Cycles                           |  1307900880 |  1307900880 |  1307900880 |  1307900880
  IPC                              |        0.38 |        0.38 |        0.38 |        0.38
  Time (ns)                        |   503038800 |   503038800 |   503038800 |   503038800
  Idle time (ns)                   |         -29 |        -174 |        -100 |        -100
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    65136059 |    65136064 |    65136091 |    65136082
  num incorrect                    |     1872219 |     1872220 |     1872220 |     1872220
  misprediction rate               |       2.79% |       2.79% |       2.79% |       2.79%
  mpki                             |        3.74 |        3.74 |        3.74 |        3.74
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    75746853 |    75746862 |    75746892 |    75746888
    num misses                     |          22 |          26 |          26 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   202715331 |   202715400 |   202715430 |   202715424
    num misses                     |     5582477 |     5708058 |     5758265 |     5816789
    miss rate                      |       2.75% |       2.82% |       2.84% |       2.87%
    mpki                           |       11.16 |       11.42 |       11.52 |       11.63
  L2 TLB                           |             |             |             |            
    num accesses                   |     5582499 |     5708084 |     5758291 |     5816811
    num misses                     |     5221806 |     5334226 |     5396024 |     5367768
    miss rate                      |      93.54% |      93.45% |      93.71% |      92.28%
    mpki                           |       10.44 |       10.67 |       10.79 |       10.74
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    22178128 |    24022108 |    21110587 |    25660280
    num cache misses               |     3055075 |     3053226 |     3054235 |     3053031
    miss rate                      |      13.78% |      12.71% |      14.47% |      11.90%
    mpki                           |        6.11 |        6.11 |        6.11 |        6.11
DRAM summary                       |             |             |             |            
  num dram accesses                |    30069411 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |     4692343 |     5504936 |     5049970 |     4520490
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    11377681 |    11729256 |    11725880 |    11445558
