                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999952 |   500000022 |   499999952 |   500000022
  Cycles                           |  5848791520 |  5848791520 |  5848791520 |  5848791520
  IPC                              |        0.09 |        0.09 |        0.09 |        0.09
  Time (ns)                        |  2249535200 |  2249535200 |  2249535200 |  2249535200
  Idle time (ns)                   |         -70 |        -265 |        -103 |        -170
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    97689857 |    97689861 |    97689859 |    97689861
  num incorrect                    |    11932044 |    11932045 |    11932044 |    11932045
  misprediction rate               |      10.88% |      10.88% |      10.88% |      10.88%
  mpki                             |       23.86 |       23.86 |       23.86 |       23.86
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    77059579 |    77059583 |    77059581 |    77059583
    num misses                     |          16 |          22 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   247782504 |   247782522 |   247782506 |   247782522
    num misses                     |    38017014 |    37916907 |    37807679 |    38056889
    miss rate                      |      15.34% |      15.30% |      15.26% |      15.36%
    mpki                           |       76.03 |       75.83 |       75.62 |       76.11
  L2 TLB                           |             |             |             |            
    num accesses                   |    38017030 |    37916929 |    37807701 |    38056911
    num misses                     |    35813092 |    35539009 |    35302018 |    35964314
    miss rate                      |      94.20% |      93.73% |      93.37% |      94.50%
    mpki                           |       71.63 |       71.08 |       70.60 |       71.93
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    87098533 |    80638641 |    81786005 |    96714815
    num cache misses               |    16571091 |    16594502 |    16598956 |    16590609
    miss rate                      |      19.03% |      20.58% |      20.30% |      17.15%
    mpki                           |       33.14 |       33.19 |       33.20 |       33.18
DRAM summary                       |             |             |             |            
  num dram accesses                |   152602116 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    32327690 |    34532114 |    34457239 |    32205671
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    29125128 |    31460065 |    32245429 |    32061947
