                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999850 |   499999873 |   499999857 |   499999870
  Cycles                           |  5022813120 |  5022813120 |  5022813120 |  5022813120
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |  1931851200 |  1931851200 |  1931851200 |  1931851200
  Idle time (ns)                   |        -100 |        -100 |         -11 |        -102
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   107540852 |   107540854 |   107540852 |   107540852
  num incorrect                    |     7113242 |     7113242 |     7113242 |     7113242
  misprediction rate               |       6.20% |       6.20% |       6.20% |       6.20%
  mpki                             |       14.23 |       14.23 |       14.23 |       14.23
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    52307668 |    52307669 |    52307667 |    52307668
    num misses                     |          27 |          27 |          27 |          27
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   199599776 |   199599778 |   199599773 |   199599774
    num misses                     |    35321180 |    37388731 |    35784476 |    36968432
    miss rate                      |      17.70% |      18.73% |      17.93% |      18.52%
    mpki                           |       70.64 |       74.78 |       71.57 |       73.94
  L2 TLB                           |             |             |             |            
    num accesses                   |    35321207 |    37388758 |    35784503 |    36968459
    num misses                     |    30725832 |    31194452 |    29830086 |    30695183
    miss rate                      |      86.99% |      83.43% |      83.36% |      83.03%
    mpki                           |       61.45 |       62.39 |       59.66 |       61.39
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    73219236 |    68493169 |    72501335 |    76893417
    num cache misses               |    12475363 |    12463091 |    12477944 |    12477601
    miss rate                      |      17.04% |      18.20% |      17.21% |      16.23%
    mpki                           |       24.95 |       24.93 |       24.96 |       24.96
DRAM summary                       |             |             |             |            
  num dram accesses                |   102138447 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    22728896 |    24617316 |    25160684 |    23295965
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    20957124 |    22817196 |    22800886 |    21599277
