                                   | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                     |  499999814 |  499999827 |  499999908 |  499999942
  Cycles                           |  805750920 |  805750920 |  805750920 |  805750920
  IPC                              |       0.62 |       0.62 |       0.62 |       0.62
  Time (ns)                        |  309904200 |  309904200 |  309904200 |  309904200
  Idle time (ns)                   |        -58 |       -103 |       -135 |       -103
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |           
  num correct                      |   38940556 |   38940556 |   38940563 |   38940565
  num incorrect                    |      55922 |      55922 |      55922 |      55922
  misprediction rate               |      0.14% |      0.14% |      0.14% |      0.14%
  mpki                             |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                        |            |            |            |           
  I-TLB                            |            |            |            |           
    num accesses                   |     614671 |     614671 |     614671 |     614671
    num misses                     |          1 |          1 |          1 |          1
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |           
    num accesses                   |  153054958 |  153054963 |  153054991 |  153055000
    num misses                     |   39676206 |   39580003 |   39463786 |   39813499
    miss rate                      |     25.92% |     25.86% |     25.78% |     26.01%
    mpki                           |      79.35 |      79.16 |      78.93 |      79.63
  L2 TLB                           |            |            |            |           
    num accesses                   |   39676207 |   39580004 |   39463787 |   39813500
    num misses                     |   35691870 |   35839644 |   35267591 |   36858563
    miss rate                      |     89.96% |     90.55% |     89.37% |     92.58%
    mpki                           |      71.38 |      71.68 |      70.54 |      73.72
Cache Summary                      |            |            |            |           
  NUCA cache                       |            |            |            |           
    num cache accesses             |   47369089 |   46773103 |   47116997 |   46838072
    num cache misses               |    1379541 |    1349716 |    1352593 |    1352618
    miss rate                      |      2.91% |      2.89% |      2.87% |      2.89%
    mpki                           |       2.76 |       2.70 |       2.71 |       2.71
DRAM summary                       |            |            |            |           
  num dram accesses                |   77641910 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |           
  num loads from dram              |    9864191 |   10802943 |   10857118 |    9948731
  num loads from dram cache        |          0 |          0 |          0 |          0
  num loads from remote cache      |   29146388 |   28394104 |   28285962 |   29213241
