                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999863 |   499999848 |   499999789 |   499999863
  Cycles                           |  3995914000 |  3995914000 |  3995914000 |  3995914000
  IPC                              |        0.13 |        0.13 |        0.13 |        0.13
  Time (ns)                        |  1536890000 |  1536890000 |  1536890000 |  1536890000
  Idle time (ns)                   |        -101 |        -143 |         -29 |        -100
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    96456597 |    96456596 |    96456583 |    96456597
  num incorrect                    |     2443985 |     2443985 |     2443985 |     2443985
  misprediction rate               |       2.47% |       2.47% |       2.47% |       2.47%
  mpki                             |        4.89 |        4.89 |        4.89 |        4.89
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    61464715 |    61464713 |    61464705 |    61464715
    num misses                     |          17 |          17 |          17 |          17
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   213702583 |   213702584 |   213702556 |   213702581
    num misses                     |    33318744 |    33699586 |    34505036 |    34484811
    miss rate                      |      15.59% |      15.77% |      16.15% |      16.14%
    mpki                           |       66.64 |       67.40 |       69.01 |       68.97
  L2 TLB                           |             |             |             |            
    num accesses                   |    33318761 |    33699603 |    34505053 |    34484828
    num misses                     |    32424362 |    32828615 |    33545396 |    33582685
    miss rate                      |      97.32% |      97.42% |      97.22% |      97.38%
    mpki                           |       64.85 |       65.66 |       67.09 |       67.17
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    90230819 |    88197717 |    88213588 |    90696990
    num cache misses               |    18163152 |    18156856 |    18196449 |    18177349
    miss rate                      |      20.13% |      20.59% |      20.63% |      20.04%
    mpki                           |       36.33 |       36.31 |       36.39 |       36.35
DRAM summary                       |             |             |             |            
  num dram accesses                |   140066330 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    32578759 |    34877123 |    34145602 |    32959512
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    20432839 |    21927262 |    22138245 |    20929752
