                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   499999961 |   500000000 |   500000000 |   500000000
  Cycles                           |  1241241040 |  1241241040 |  1241241040 |  1241241040
  IPC                              |        0.40 |        0.40 |        0.40 |        0.40
  Time (ns)                        |   477400400 |   477400400 |   477400400 |   477400400
  Idle time (ns)                   |         -31 |        -180 |        -104 |        -139
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   167695497 |   167695497 |   167695497 |   167695497
  num incorrect                    |    20786884 |    20786884 |    20786884 |    20786884
  misprediction rate               |      11.03% |      11.03% |      11.03% |      11.03%
  mpki                             |       41.57 |       41.57 |       41.57 |       41.57
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    80437498 |    80437498 |    80437498 |    80437498
    num misses                     |           2 |           2 |           2 |           2
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   173596527 |   173596535 |   173596535 |   173596535
    num misses                     |     3538630 |     3548287 |     3549544 |     3514260
    miss rate                      |       2.04% |       2.04% |       2.04% |       2.02%
    mpki                           |        7.08 |        7.10 |        7.10 |        7.03
  L2 TLB                           |             |             |             |            
    num accesses                   |     3538632 |     3548289 |     3549546 |     3514262
    num misses                     |     3403999 |     3448715 |     3426330 |     3375526
    miss rate                      |      96.20% |      97.19% |      96.53% |      96.05%
    mpki                           |        6.81 |        6.90 |        6.85 |        6.75
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    11820697 |    11832528 |    11826338 |    11847342
    num cache misses               |     2444258 |     2448218 |     2447352 |     2449455
    miss rate                      |      20.68% |      20.69% |      20.69% |      20.68%
    mpki                           |        4.89 |        4.90 |        4.89 |        4.90
DRAM summary                       |             |             |             |            
  num dram accesses                |    16410464 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |     3600096 |     3917675 |     3945926 |     3644875
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |     3750350 |     3921206 |     3920435 |     3769497
