                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   124999936 |   125000013 |   125000013 |   125000013 |   125000023 |   125000013 |   125000013 |   125000013
  Cycles                           |  1103080940 |  1103080940 |  1103080940 |  1103080940 |  1103080940 |  1103080940 |  1103080940 |  1103080940
  IPC                              |        0.11 |        0.11 |        0.11 |        0.11 |        0.11 |        0.11 |        0.11 |        0.11
  Time (ns)                        |   424261900 |   424261900 |   424261900 |   424261900 |   424261900 |   424261900 |   424261900 |   424261900
  Idle time (ns)                   |         -92 |        -205 |        -235 |        -207 |        -308 |        -203 |        -287 |        -330
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    22907344 |    22907349 |    22907349 |    22907349 |    22907349 |    22907349 |    22907349 |    22907349
  num incorrect                    |     2110151 |     2110153 |     2110153 |     2110153 |     2110153 |     2110153 |     2110153 |     2110153
  misprediction rate               |       8.43% |       8.43% |       8.43% |       8.43% |       8.43% |       8.43% |       8.43% |       8.43%
  mpki                             |       16.88 |       16.88 |       16.88 |       16.88 |       16.88 |       16.88 |       16.88 |       16.88
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    18712972 |    18712978 |    18712978 |    18712978 |    18712978 |    18712978 |    18712978 |    18712978
    num misses                     |          22 |          22 |          22 |          22 |          16 |          22 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    64598637 |    64598666 |    64598666 |    64598666 |    64598666 |    64598666 |    64598666 |    64598666
    num misses                     |     8303275 |     8238391 |     8269229 |     8294173 |     8268862 |     8293603 |     8238362 |     8298637
    miss rate                      |      12.85% |      12.75% |      12.80% |      12.84% |      12.80% |      12.84% |      12.75% |      12.85%
    mpki                           |       66.43 |       65.91 |       66.15 |       66.35 |       66.15 |       66.35 |       65.91 |       66.39
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     8303297 |     8238413 |     8269251 |     8294195 |     8268878 |     8293625 |     8238384 |     8298659
    num misses                     |     7731007 |     7553298 |     7659055 |     7695759 |     7634722 |     7722641 |     7611535 |     7712217
    miss rate                      |      93.11% |      91.68% |      92.62% |      92.78% |      92.33% |      93.12% |      92.39% |      92.93%
    mpki                           |       61.85 |       60.43 |       61.27 |       61.57 |       61.08 |       61.78 |       60.89 |       61.70
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    29568568 |    19275106 |    20248876 |    19552982 |    19440973 |    19606975 |    19296941 |    34095359
    num cache misses               |     2507371 |     2509252 |     2506155 |     2513321 |     2513423 |     2509959 |     2510627 |     2513708
    miss rate                      |       8.48% |      13.02% |      12.38% |      12.85% |      12.93% |      12.80% |      13.01% |       7.37%
    mpki                           |       20.06 |       20.07 |       20.05 |       20.11 |       20.11 |       20.08 |       20.09 |       20.11
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    39429530 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     3455353 |     4099943 |     4503183 |     4665098 |     4679629 |     4417463 |     4020863 |     3442657
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4834039 |     5360187 |     5471290 |     5492698 |     5429390 |     5355939 |     5197208 |     4919804
