                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   125000023 |   125000096 |   125000115 |   125000108 |   125000115 |   125000108 |   125000108 |   124999957
  Cycles                           |  1222048620 |  1222048620 |  1222048620 |  1222048620 |  1222048620 |  1222048620 |  1222048620 |  1222048620
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   470018700 |   470018700 |   470018700 |   470018700 |   470018700 |   470018700 |   470018700 |   470018700
  Idle time (ns)                   |        -103 |        -301 |        -272 |        -190 |        -261 |        -243 |        -279 |         -24
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    25282997 |    25282997 |    25283001 |    25283001 |    25283001 |    25283001 |    25283001 |    25282978
  num incorrect                    |     2352522 |     2352522 |     2352523 |     2352523 |     2352523 |     2352523 |     2352523 |     2352520
  misprediction rate               |       8.51% |       8.51% |       8.51% |       8.51% |       8.51% |       8.51% |       8.51% |       8.51%
  mpki                             |       18.82 |       18.82 |       18.82 |       18.82 |       18.82 |       18.82 |       18.82 |       18.82
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    14638385 |    14638385 |    14638387 |    14638387 |    14638387 |    14638387 |    14638387 |    14638373
    num misses                     |          18 |          24 |          18 |          24 |          24 |          24 |          18 |          24
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    57099568 |    57099575 |    57099584 |    57099584 |    57099584 |    57099584 |    57099584 |    57099521
    num misses                     |     9802944 |     9579764 |     9723590 |     9734028 |     9802058 |     9658549 |     9729904 |     9729057
    miss rate                      |      17.17% |      16.78% |      17.03% |      17.05% |      17.17% |      16.92% |      17.04% |      17.04%
    mpki                           |       78.42 |       76.64 |       77.79 |       77.87 |       78.42 |       77.27 |       77.84 |       77.83
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     9802962 |     9579788 |     9723608 |     9734052 |     9802082 |     9658573 |     9729922 |     9729081
    num misses                     |     9076319 |     8640744 |     8937334 |     8950446 |     9078659 |     8797411 |     8941529 |     8915585
    miss rate                      |      92.59% |      90.20% |      91.91% |      91.95% |      92.62% |      91.08% |      91.90% |      91.64%
    mpki                           |       72.61 |       69.13 |       71.50 |       71.60 |       72.63 |       70.38 |       71.53 |       71.32
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    31039399 |    22411783 |    22425567 |    22728679 |    23002333 |    23105877 |    22910495 |    23586741
    num cache misses               |     2917331 |     2921718 |     2922832 |     2927234 |     2924869 |     2926844 |     2929137 |     2931510
    miss rate                      |       9.40% |      13.04% |      13.03% |      12.88% |      12.72% |      12.67% |      12.79% |      12.43%
    mpki                           |       23.34 |       23.37 |       23.38 |       23.42 |       23.40 |       23.41 |       23.43 |       23.45
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    44286123 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     3990939 |     4819555 |     5202998 |     5463626 |     5436711 |     5272284 |     4768262 |     4080558
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     3859524 |     4356951 |     4592259 |     4702285 |     4673467 |     4505081 |     4182502 |     3660193
