                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   124999982 |   125000038 |   125000038 |   125000035 |   125000059 |   125000035 |   125000082 |   125000038
  Cycles                           |  1245365940 |  1245365940 |  1245365940 |  1245365940 |  1245365940 |  1245365940 |  1245365940 |  1245365940
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   478986900 |   478986900 |   478986900 |   478986900 |   478986900 |   478986900 |   478986900 |   478986900
  Idle time (ns)                   |         -64 |        -100 |        -104 |        -101 |        -213 |        -101 |        -279 |        -101
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    27266185 |    27266205 |    27266205 |    27266202 |    27266202 |    27266205 |    27266207 |    27266205
  num incorrect                    |     1740166 |     1740168 |     1740168 |     1740168 |     1740168 |     1740168 |     1740170 |     1740168
  misprediction rate               |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00%
  mpki                             |       13.92 |       13.92 |       13.92 |       13.92 |       13.92 |       13.92 |       13.92 |       13.92
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    13263089 |    13263099 |    13263099 |    13263098 |    13263098 |    13263099 |    13263101 |    13263099
    num misses                     |          29 |          29 |          29 |          29 |          29 |          22 |          29 |          29
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    49097987 |    49098017 |    49098019 |    49098014 |    49098017 |    49098015 |    49098024 |    49098019
    num misses                     |     9413337 |     9160304 |     9766607 |     9711168 |     9172900 |     9926957 |     9718826 |     9750692
    miss rate                      |      19.17% |      18.66% |      19.89% |      19.78% |      18.68% |      20.22% |      19.79% |      19.86%
    mpki                           |       75.31 |       73.28 |       78.13 |       77.69 |       73.38 |       79.42 |       77.75 |       78.01
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     9413366 |     9160333 |     9766636 |     9711197 |     9172929 |     9926979 |     9718855 |     9750721
    num misses                     |     7873809 |     7813096 |     8118280 |     8035155 |     7720147 |     8249346 |     8005776 |     8086198
    miss rate                      |      83.64% |      85.29% |      83.12% |      82.74% |      84.16% |      83.10% |      82.37% |      82.93%
    mpki                           |       62.99 |       62.50 |       64.95 |       64.28 |       61.76 |       65.99 |       64.05 |       64.69
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    19135180 |    19190264 |    19151883 |    26318100 |    23403876 |    19177550 |    23052831 |    19193064
    num cache misses               |     2247880 |     2244695 |     2245006 |     2246746 |     2241295 |     2245953 |     2249335 |     2249061
    miss rate                      |      11.75% |      11.70% |      11.72% |       8.54% |       9.58% |      11.71% |       9.76% |      11.72%
    mpki                           |       17.98 |       17.96 |       17.96 |       17.97 |       17.93 |       17.97 |       17.99 |       17.99
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    29255445 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     2631278 |     3437987 |     3790247 |     4110935 |     4263570 |     3742511 |     3314101 |     2563268
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2140387 |     3265151 |     3904556 |     4448768 |     4365198 |     3991743 |     3231854 |     2106475
