                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   124999969 |   125000059 |   125000063 |   125000082 |   125000060 |   125000063 |   125000038 |   125000043
  Cycles                           |  1241718660 |  1241718660 |  1241718660 |  1241718660 |  1241718660 |  1241718660 |  1241718660 |  1241718660
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   477584100 |   477584100 |   477584100 |   477584100 |   477584100 |   477584100 |   477584100 |   477584100
  Idle time (ns)                   |         -45 |        -237 |        -193 |        -185 |        -153 |        -238 |        -103 |        -112
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    27266185 |    27266202 |    27266207 |    27266207 |    27266207 |    27266207 |    27266207 |    27266202
  num incorrect                    |     1740166 |     1740168 |     1740170 |     1740170 |     1740170 |     1740170 |     1740168 |     1740168
  misprediction rate               |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00% |       6.00%
  mpki                             |       13.92 |       13.92 |       13.92 |       13.92 |       13.92 |       13.92 |       13.92 |       13.92
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    13263089 |    13263098 |    13263101 |    13263101 |    13263101 |    13263101 |    13263099 |    13263098
    num misses                     |          29 |          29 |          29 |          29 |          29 |          29 |          29 |          29
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    49097987 |    49098017 |    49098024 |    49098024 |    49098020 |    49098024 |    49098018 |    49098017
    num misses                     |     9654470 |     9080324 |     9506132 |     9198939 |     9941685 |     9686599 |     9430253 |     9740675
    miss rate                      |      19.66% |      18.49% |      19.36% |      18.74% |      20.25% |      19.73% |      19.21% |      19.84%
    mpki                           |       77.24 |       72.64 |       76.05 |       73.59 |       79.53 |       77.49 |       75.44 |       77.93
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     9654499 |     9080353 |     9506161 |     9198968 |     9941714 |     9686628 |     9430282 |     9740704
    num misses                     |     7980808 |     7672578 |     7905085 |     7821758 |     8308203 |     7994751 |     8126601 |     8017061
    miss rate                      |      82.66% |      84.50% |      83.16% |      85.03% |      83.57% |      82.53% |      86.18% |      82.30%
    mpki                           |       63.85 |       61.38 |       63.24 |       62.57 |       66.47 |       63.96 |       65.01 |       64.14
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    19138550 |    19205158 |    19156612 |    26343990 |    23408101 |    19175512 |    23037071 |    19198915
    num cache misses               |     2246673 |     2247582 |     2246386 |     2246616 |     2249362 |     2246310 |     2244986 |     2250312
    miss rate                      |      11.74% |      11.70% |      11.73% |       8.53% |       9.61% |      11.71% |       9.75% |      11.72%
    mpki                           |       17.97 |       17.98 |       17.97 |       17.97 |       17.99 |       17.97 |       17.96 |       18.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    29263946 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     2562118 |     3477752 |     3891897 |     4225981 |     4020388 |     3783124 |     3323567 |     2576680
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2066945 |     3315121 |     3949804 |     4452813 |     4304217 |     4014675 |     3211073 |     2123949
