                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  125000095 |  124999887 |  125000105 |  125000023 |  125000333 |  125000257 |  124999879 |  124999799
  Cycles                           |  424396440 |  424396440 |  424396440 |  424396440 |  424396440 |  424396440 |  424396440 |  424396440
  IPC                              |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                        |  163229400 |  163229400 |  163229400 |  163229400 |  163229400 |  163229400 |  163229400 |  163229400
  Idle time (ns)                   |       -456 |       -102 |       -101 |       -341 |       -101 |       -191 |       -256 |        -32
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   27777739 |   27777694 |   27777742 |   27777723 |   27777791 |   27777775 |   27777691 |   27777674
  num incorrect                    |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
  misprediction rate               |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   13888930 |   13888908 |   13888931 |   13888922 |   13888957 |   13888948 |   13888906 |   13888897
    num misses                     |         13 |         13 |         13 |         13 |         13 |         13 |         13 |         13
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   55555669 |   55555563 |   55555651 |   55555634 |   55555758 |   55555739 |   55555575 |   55555539
    num misses                     |     927826 |     928159 |     921160 |     924723 |     926782 |     924538 |     930365 |     912875
    miss rate                      |      1.67% |      1.67% |      1.66% |      1.66% |      1.67% |      1.66% |      1.67% |      1.64%
    mpki                           |       7.42 |       7.43 |       7.37 |       7.40 |       7.41 |       7.40 |       7.44 |       7.30
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |     927839 |     928172 |     921173 |     924736 |     926795 |     924551 |     930378 |     912888
    num misses                     |     926281 |     926645 |     919637 |     923214 |     925260 |     922966 |     928834 |     911354
    miss rate                      |     99.83% |     99.84% |     99.83% |     99.84% |     99.83% |     99.83% |     99.83% |     99.83%
    mpki                           |       7.41 |       7.41 |       7.36 |       7.39 |       7.40 |       7.38 |       7.43 |       7.29
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   14004144 |   13911426 |   13891945 |   14284330 |   13947938 |   13585883 |   13769504 |   13773891
    num cache misses               |     232626 |     232522 |     232553 |     232642 |     232576 |     232645 |     232565 |     232644
    miss rate                      |      1.66% |      1.67% |      1.67% |      1.63% |      1.67% |      1.71% |      1.69% |      1.69%
    mpki                           |       1.86 |       1.86 |       1.86 |       1.86 |       1.86 |       1.86 |       1.86 |       1.86
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   35444514 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |    1874494 |    1938713 |    1989531 |    2015333 |    2037375 |    2018880 |    1971622 |    1882480
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    4596796 |    4547915 |    4503314 |    4489656 |    4489415 |    4496667 |    4511131 |    4578650
