                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  124957925 |  125009994 |  125009799 |  125010111 |  125010189 |  125009968 |  125009813 |  125009448
  Cycles                           |  211545620 |  211545620 |  211545620 |  211545620 |  211545620 |  211545620 |  211545620 |  211545620
  IPC                              |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                        |   81363700 |   81363700 |   81363700 |   81363700 |   81363700 |   81363700 |   81363700 |   81363700
  Idle time (ns)                   |       -100 |       -144 |       -103 |       -148 |       -133 |       -106 |        -40 |       -116
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |    9952896 |    9956921 |    9956906 |    9956930 |    9956936 |    9956919 |    9956907 |    9956879
  num incorrect                    |      55922 |      55922 |      55922 |      55922 |      55922 |      55922 |      55922 |      55922
  misprediction rate               |      0.56% |      0.56% |      0.56% |      0.56% |      0.56% |      0.56% |      0.56% |      0.56%
  mpki                             |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |     165251 |     165313 |     165313 |     165313 |     165313 |     165313 |     165313 |     165313
    num misses                     |          1 |          1 |          1 |          1 |          1 |          1 |          1 |          1
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   38003158 |   38019139 |   38019079 |   38019175 |   38019197 |   38019130 |   38019084 |   38018967
    num misses                     |    9778333 |    9714959 |    9722785 |    9740513 |    9767266 |    9747928 |    9759215 |    9753996
    miss rate                      |     25.73% |     25.55% |     25.57% |     25.62% |     25.69% |     25.64% |     25.67% |     25.66%
    mpki                           |      78.25 |      77.71 |      77.78 |      77.92 |      78.13 |      77.98 |      78.07 |      78.03
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |    9778334 |    9714960 |    9722786 |    9740514 |    9767267 |    9747929 |    9759216 |    9753997
    num misses                     |    8818947 |    8753682 |    8677685 |    8714220 |    8758917 |    8719598 |    9004444 |    8720728
    miss rate                      |     90.19% |     90.11% |     89.25% |     89.46% |     89.68% |     89.45% |     92.27% |     89.41%
    mpki                           |      70.58 |      70.02 |      69.42 |      69.71 |      70.07 |      69.75 |      72.03 |      69.76
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   10288075 |    9841484 |    9747331 |    9738203 |    9760980 |    9687087 |    9900574 |    9749507
    num cache misses               |      78000 |      75702 |      75382 |      76291 |      75503 |      74892 |      75327 |      74823
    miss rate                      |      0.76% |      0.77% |      0.77% |      0.78% |      0.77% |      0.77% |      0.76% |      0.77%
    mpki                           |       0.62 |       0.61 |       0.60 |       0.61 |       0.60 |       0.60 |       0.60 |       0.60
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   13486898 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |      37062 |     716952 |    1475617 |    1700214 |    1716009 |    1515539 |     701014 |     127348
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |   10583394 |    8951727 |    6729533 |    6496285 |    6511688 |    6862975 |    8897930 |   11532298
