                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   125000182 |   125000182 |   125000182 |   125000182 |   125000141 |   125000182 |   125000182 |   124999790
  Cycles                           |  1061999120 |  1061999120 |  1061999120 |  1061999120 |  1061999120 |  1061999120 |  1061999120 |  1061999120
  IPC                              |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12
  Time (ns)                        |   408461200 |   408461200 |   408461200 |   408461200 |   408461200 |   408461200 |   408461200 |   408461200
  Idle time (ns)                   |        -234 |        -341 |        -307 |        -360 |        -104 |        -236 |        -271 |         -93
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    22577843 |    22577843 |    22577843 |    22577843 |    22577835 |    22577843 |    22577843 |    22577807
  num incorrect                    |      900049 |      900049 |      900049 |      900049 |      900048 |      900049 |      900049 |      900047
  misprediction rate               |       3.83% |       3.83% |       3.83% |       3.83% |       3.83% |       3.83% |       3.83% |       3.83%
  mpki                             |        7.20 |        7.20 |        7.20 |        7.20 |        7.20 |        7.20 |        7.20 |        7.20
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    15662241 |    15662241 |    15662241 |    15662241 |    15662234 |    15662241 |    15662241 |    15662216
    num misses                     |          16 |          16 |          16 |          16 |          13 |          16 |          16 |          16
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    53888716 |    53888716 |    53888716 |    53888716 |    53888692 |    53888716 |    53888716 |    53888603
    num misses                     |     7150580 |     7236224 |     7096484 |     7134235 |     7112539 |     7190857 |     7129789 |     7091280
    miss rate                      |      13.27% |      13.43% |      13.17% |      13.24% |      13.20% |      13.34% |      13.23% |      13.16%
    mpki                           |       57.20 |       57.89 |       56.77 |       57.07 |       56.90 |       57.53 |       57.04 |       56.73
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     7150596 |     7236240 |     7096500 |     7134251 |     7112552 |     7190873 |     7129805 |     7091296
    num misses                     |     6941440 |     7051968 |     6921745 |     6921663 |     6930727 |     7007400 |     6946650 |     6914075
    miss rate                      |      97.07% |      97.45% |      97.54% |      97.02% |      97.44% |      97.45% |      97.43% |      97.50%
    mpki                           |       55.53 |       56.42 |       55.37 |       55.37 |       55.45 |       56.06 |       55.57 |       55.31
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    20560027 |    20595074 |    20553336 |    24458592 |    24164792 |    20556846 |    20564145 |    20580219
    num cache misses               |     2718474 |     2722725 |     2721546 |     2715964 |     2726196 |     2724230 |     2720900 |     2720012
    miss rate                      |      13.22% |      13.22% |      13.24% |      11.10% |      11.28% |      13.25% |      13.23% |      13.22%
    mpki                           |       21.75 |       21.78 |       21.77 |       21.73 |       21.81 |       21.79 |       21.77 |       21.76
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    35323052 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     3192511 |     3877134 |     4806375 |     4779762 |     4844776 |     4376006 |     4131183 |     3217825
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2312733 |     3109760 |     4065183 |     4137106 |     4132119 |     3630013 |     3237017 |     2259109
