                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  125000009 |  125000434 |  125000003 |  124999978 |  125000420 |  125000434 |  125000015 |  125000023
  Cycles                           |  332937800 |  332937800 |  332937800 |  332937800 |  332937800 |  332937800 |  332937800 |  332937800
  IPC                              |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38
  Time (ns)                        |  128053000 |  128053000 |  128053000 |  128053000 |  128053000 |  128053000 |  128053000 |  128053000
  Idle time (ns)                   |       -100 |       -234 |       -100 |        -15 |       -192 |       -286 |       -100 |       -100
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   41924871 |   41925019 |   41924867 |   41924852 |   41925019 |   41925019 |   41924875 |   41924881
  num incorrect                    |    5194149 |    5194155 |    5194149 |    5194149 |    5194155 |    5194155 |    5194149 |    5194149
  misprediction rate               |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02%
  mpki                             |      41.55 |      41.55 |      41.55 |      41.55 |      41.55 |      41.55 |      41.55 |      41.55
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   20149884 |   20149995 |   20149881 |   20149869 |   20149995 |   20149995 |   20149887 |   20149891
    num misses                     |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   43397605 |   43397735 |   43397602 |   43397591 |   43397735 |   43397735 |   43397608 |   43397612
    num misses                     |     894441 |     889947 |     883269 |     885472 |     885667 |     892214 |     890668 |     892420
    miss rate                      |      2.06% |      2.05% |      2.04% |      2.04% |      2.04% |      2.06% |      2.05% |      2.06%
    mpki                           |       7.16 |       7.12 |       7.07 |       7.08 |       7.09 |       7.14 |       7.13 |       7.14
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |     894443 |     889949 |     883271 |     885474 |     885669 |     892216 |     890670 |     892422
    num misses                     |     864145 |     858058 |     838543 |     844610 |     849561 |     862560 |     858654 |     860185
    miss rate                      |     96.61% |     96.42% |     94.94% |     95.39% |     95.92% |     96.68% |     96.41% |     96.39%
    mpki                           |       6.91 |       6.86 |       6.71 |       6.76 |       6.80 |       6.90 |       6.87 |       6.88
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    4773662 |    4832224 |    4868712 |    4894523 |    4944424 |    4973516 |    5015826 |    5092029
    num cache misses               |     297040 |     298368 |     299118 |     300160 |     302069 |     301968 |     303037 |     304343
    miss rate                      |      6.22% |      6.17% |      6.14% |      6.13% |      6.11% |      6.07% |      6.04% |      5.98%
    mpki                           |       2.38 |       2.39 |       2.39 |       2.40 |       2.42 |       2.42 |       2.42 |       2.43
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    6982462 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     443935 |     549647 |     621619 |     653939 |     646096 |     607519 |     545780 |     445468
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |     588347 |     643329 |     676278 |     693691 |     691528 |     673495 |     631482 |     561697
