                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  187499993 |  187500250 |  187500020 |  187500250 |  187500250 |  187500250 |  187500020 |  187500026
  Cycles                           |  342791020 |  342791020 |  342791020 |  342791020 |  342791020 |  342791020 |  342791020 |  342791020
  IPC                              |       0.55 |       0.55 |       0.55 |       0.55 |       0.55 |       0.55 |       0.55 |       0.55
  Time (ns)                        |  131842700 |  131842700 |  131842700 |  131842700 |  131842700 |  131842700 |  131842700 |  131842700
  Idle time (ns)                   |        -99 |       -152 |       -100 |       -101 |       -158 |       -122 |       -100 |       -100
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   22792134 |   22792166 |   22792165 |   22792166 |   22792166 |   22792166 |   22792165 |   22792165
  num incorrect                    |     135539 |     135540 |     135539 |     135540 |     135540 |     135540 |     135539 |     135539
  misprediction rate               |      0.59% |      0.59% |      0.59% |      0.59% |      0.59% |      0.59% |      0.59% |      0.59%
  mpki                             |       0.72 |       0.72 |       0.72 |       0.72 |       0.72 |       0.72 |       0.72 |       0.72
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   25454094 |   25454135 |   25454131 |   25454135 |   25454135 |   25454135 |   25454131 |   25454132
    num misses                     |         26 |         22 |         26 |         26 |         26 |         22 |         26 |         26
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   80735955 |   80736054 |   80736002 |   80736054 |   80736054 |   80736054 |   80736007 |   80736010
    num misses                     |     688501 |     673144 |     662838 |     676335 |     679919 |     689361 |     681183 |     693048
    miss rate                      |      0.85% |      0.83% |      0.82% |      0.84% |      0.84% |      0.85% |      0.84% |      0.86%
    mpki                           |       3.67 |       3.59 |       3.54 |       3.61 |       3.63 |       3.68 |       3.63 |       3.70
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |     688527 |     673166 |     662864 |     676361 |     679945 |     689383 |     681209 |     693074
    num misses                     |     668506 |     653184 |     639319 |     653359 |     653000 |     671211 |     660781 |     670856
    miss rate                      |     97.09% |     97.03% |     96.45% |     96.60% |     96.04% |     97.36% |     97.00% |     96.79%
    mpki                           |       3.57 |       3.48 |       3.41 |       3.48 |       3.48 |       3.58 |       3.52 |       3.58
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    9267162 |    8545025 |    3936376 |    3937394 |    4000411 |    5431375 |    6324532 |   10813548
    num cache misses               |     466491 |     466160 |     466650 |     467645 |     468179 |     465535 |     468715 |     468037
    miss rate                      |      5.03% |      5.46% |     11.85% |     11.88% |     11.70% |      8.57% |      7.41% |      4.33%
    mpki                           |       2.49 |       2.49 |       2.49 |       2.49 |       2.50 |       2.48 |       2.50 |       2.50
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   11347448 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     520891 |     615050 |     662822 |     713733 |     715428 |     720418 |     607529 |     521560
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    3332065 |    3221205 |    3150832 |    3082516 |    3042499 |    3036480 |    3100529 |    3209146
