                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   187500002 |   187500043 |   187500043 |   187500043 |   187500043 |   187500043 |   187499973 |   187499983
  Cycles                           |  1790649120 |  1790649120 |  1790649120 |  1790649120 |  1790649120 |  1790649120 |  1790649120 |  1790649120
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   688711200 |   688711200 |   688711200 |   688711200 |   688711200 |   688711200 |   688711200 |   688711200
  Idle time (ns)                   |        -132 |        -174 |        -197 |        -295 |        -241 |        -182 |         -99 |        -102
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    34993774 |    34993774 |    34993774 |    34993774 |    34993774 |    34993774 |    34993767 |    34993770
  num incorrect                    |     3543513 |     3543513 |     3543513 |     3543513 |     3543513 |     3543513 |     3543512 |     3543512
  misprediction rate               |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20% |       9.20%
  mpki                             |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90 |       18.90
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    28702847 |    28702847 |    28702847 |    28702847 |    28702847 |    28702847 |    28702841 |    28702843
    num misses                     |          22 |          16 |          22 |          22 |          22 |          22 |          22 |          16
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    95564060 |    95564067 |    95564067 |    95564067 |    95564067 |    95564067 |    95564038 |    95564043
    num misses                     |    12949640 |    12850616 |    12856515 |    12956274 |    12777745 |    12949491 |    12953836 |    12943445
    miss rate                      |      13.55% |      13.45% |      13.45% |      13.56% |      13.37% |      13.55% |      13.56% |      13.54%
    mpki                           |       69.06 |       68.54 |       68.57 |       69.10 |       68.15 |       69.06 |       69.09 |       69.03
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    12949662 |    12850632 |    12856537 |    12956296 |    12777767 |    12949513 |    12953858 |    12943461
    num misses                     |    12104368 |    11913346 |    11853247 |    12122464 |    11763181 |    12110327 |    12110612 |    12067889
    miss rate                      |      93.47% |      92.71% |      92.20% |      93.56% |      92.06% |      93.52% |      93.49% |      93.24%
    mpki                           |       64.56 |       63.54 |       63.22 |       64.65 |       62.74 |       64.59 |       64.59 |       64.36
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    43983534 |    30103228 |    31634440 |    30469532 |    30327806 |    30563954 |    30171579 |    53170523
    num cache misses               |     3917346 |     3920909 |     3919248 |     3926241 |     3919215 |     3924295 |     3929031 |     3932624
    miss rate                      |       8.91% |      13.02% |      12.39% |      12.89% |      12.92% |      12.84% |      13.02% |       7.40%
    mpki                           |       20.89 |       20.91 |       20.90 |       20.94 |       20.90 |       20.93 |       20.95 |       20.97
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    60708206 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     5403678 |     6430731 |     7071961 |     7309114 |     7358487 |     6872517 |     6209841 |     5389565
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     7231623 |     8101478 |     8242125 |     8282370 |     8144510 |     8061571 |     7859699 |     7467327
