                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  187499943 |  187499954 |  187499961 |  187499973 |  187500008 |  187500001 |  187500005 |  187499856
  Cycles                           |  290285320 |  290285320 |  290285320 |  290285320 |  290285320 |  290285320 |  290285320 |  290285320
  IPC                              |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65
  Time (ns)                        |  111648200 |  111648200 |  111648200 |  111648200 |  111648200 |  111648200 |  111648200 |  111648200
  Idle time (ns)                   |       -101 |       -118 |       -101 |       -118 |       -114 |       -107 |       -112 |        -48
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   12793671 |   12793671 |   12793674 |   12793671 |   12793675 |   12793675 |   12793675 |   12793664
  num incorrect                    |     471374 |     471374 |     471374 |     471374 |     471374 |     471374 |     471374 |     471374
  misprediction rate               |      3.55% |      3.55% |      3.55% |      3.55% |      3.55% |      3.55% |      3.55% |      3.55%
  mpki                             |       2.51 |       2.51 |       2.51 |       2.51 |       2.51 |       2.51 |       2.51 |       2.51
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   18559516 |   18559517 |   18559518 |   18559517 |   18559522 |   18559521 |   18559521 |   18559505
    num misses                     |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   58275970 |   58275981 |   58275986 |   58275966 |   58276001 |   58275989 |   58275990 |   58275942
    num misses                     |    3057983 |    3119171 |    3119248 |    3119187 |    3013129 |    3131484 |    3032963 |    3057898
    miss rate                      |      5.25% |      5.35% |      5.35% |      5.35% |      5.17% |      5.37% |      5.20% |      5.25%
    mpki                           |      16.31 |      16.64 |      16.64 |      16.64 |      16.07 |      16.70 |      16.18 |      16.31
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |    3058011 |    3119199 |    3119276 |    3119215 |    3013157 |    3131512 |    3032991 |    3057926
    num misses                     |    2709926 |    2800107 |    2800994 |    2800578 |    2653160 |    2819678 |    2669394 |    2708773
    miss rate                      |     88.62% |     89.77% |     89.80% |     89.78% |     88.05% |     90.04% |     88.01% |     88.58%
    mpki                           |      14.45 |      14.93 |      14.94 |      14.94 |      14.15 |      15.04 |      14.24 |      14.45
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    7072479 |    6824800 |    7613200 |    7152152 |    7220007 |    7374161 |    7405031 |    8430613
    num cache misses               |      68825 |      68764 |      68687 |      68972 |      68307 |      68033 |      68839 |      68436
    miss rate                      |      0.97% |      1.01% |      0.90% |      0.96% |      0.95% |      0.92% |      0.93% |      0.81%
    mpki                           |       0.37 |       0.37 |       0.37 |       0.37 |       0.36 |       0.36 |       0.37 |       0.36
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    4392465 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     209410 |     423006 |     618707 |     721720 |     802419 |     651628 |     506645 |     242743
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    1650334 |    2109773 |    2438292 |    2575746 |    2573223 |    2557541 |    2216881 |    1750674
