                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  249999792 |  250000466 |  250000708 |  250000708 |  250000708 |  250000708 |  250000708 |  250000464
  Cycles                           |  554226140 |  554226140 |  554226140 |  554226140 |  554226140 |  554226140 |  554226140 |  554226140
  IPC                              |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45 |       0.45
  Time (ns)                        |  213163900 |  213163900 |  213163900 |  213163900 |  213163900 |  213163900 |  213163900 |  213163900
  Idle time (ns)                   |        -91 |       -118 |       -278 |       -251 |       -405 |       -365 |       -307 |       -118
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   31240011 |   31240107 |   31240108 |   31240108 |   31240108 |   31240108 |   31240108 |   31240106
  num incorrect                    |     481395 |     481396 |     481397 |     481397 |     481397 |     481397 |     481397 |     481396
  misprediction rate               |      1.52% |      1.52% |      1.52% |      1.52% |      1.52% |      1.52% |      1.52% |      1.52%
  mpki                             |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93 |       1.93
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   35487011 |   35487122 |   35487129 |   35487129 |   35487129 |   35487129 |   35487129 |   35487121
    num misses                     |         26 |         26 |         26 |         26 |         22 |         26 |         22 |         22
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |  105179882 |  105180136 |  105180191 |  105180191 |  105180191 |  105180191 |  105180191 |  105180136
    num misses                     |    1597064 |    1585717 |    1750200 |    1689707 |    1720346 |    1650831 |    1692741 |    1667768
    miss rate                      |      1.52% |      1.51% |      1.66% |      1.61% |      1.64% |      1.57% |      1.61% |      1.59%
    mpki                           |       6.39 |       6.34 |       7.00 |       6.76 |       6.88 |       6.60 |       6.77 |       6.67
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |    1597090 |    1585743 |    1750226 |    1689733 |    1720368 |    1650857 |    1692763 |    1667790
    num misses                     |    1503548 |    1510129 |    1654424 |    1596634 |    1625267 |    1570011 |    1595776 |    1583656
    miss rate                      |     94.14% |     95.23% |     94.53% |     94.49% |     94.47% |     95.10% |     94.27% |     94.96%
    mpki                           |       6.01 |       6.04 |       6.62 |       6.39 |       6.50 |       6.28 |       6.38 |       6.33
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   14639008 |   13796420 |    6384807 |    6389921 |    6481707 |    9059439 |   10339995 |   17349882
    num cache misses               |     777524 |     778180 |     777074 |     775241 |     778461 |     778616 |     776947 |     778352
    miss rate                      |      5.31% |      5.64% |     12.17% |     12.13% |     12.01% |      8.59% |      7.51% |      4.49%
    mpki                           |       3.11 |       3.11 |       3.11 |       3.10 |       3.11 |       3.11 |       3.11 |       3.11
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   15512831 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     870866 |    1039581 |    1124574 |    1223949 |    1196839 |    1208009 |    1000762 |     880784
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    5126363 |    4937291 |    4889039 |    4783260 |    4752173 |    4707477 |    4863718 |    4992520
