                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999946 |   249999946 |   249999946 |   249999946 |   249999954 |   249999913 |   249999954 |   250000070
  Cycles                           |  2513337060 |  2513337060 |  2513337060 |  2513337060 |  2513337060 |  2513337060 |  2513337060 |  2513337060
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   966668100 |   966668100 |   966668100 |   966668100 |   966668100 |   966668100 |   966668100 |   966668100
  Idle time (ns)                   |         -96 |        -100 |        -101 |        -101 |        -103 |        -100 |        -102 |        -551
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    47308272 |    47308272 |    47308272 |    47308272 |    47308272 |    47308272 |    47308272 |    47308287
  num incorrect                    |     5069381 |     5069381 |     5069381 |     5069381 |     5069381 |     5069381 |     5069381 |     5069383
  misprediction rate               |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68%
  mpki                             |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    38705452 |    38705452 |    38705452 |    38705452 |    38705452 |    38705452 |    38705452 |    38705463
    num misses                     |          22 |          22 |          22 |          16 |          16 |          22 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   126227987 |   126227988 |   126227988 |   126227988 |   126227988 |   126227981 |   126227988 |   126228040
    num misses                     |    17640294 |    17764760 |    17771586 |    17668562 |    17766860 |    17756687 |    17778270 |    17631323
    miss rate                      |      13.97% |      14.07% |      14.08% |      14.00% |      14.08% |      14.07% |      14.08% |      13.97%
    mpki                           |       70.56 |       71.06 |       71.09 |       70.67 |       71.07 |       71.03 |       71.11 |       70.53
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    17640316 |    17764782 |    17771608 |    17668578 |    17766876 |    17756709 |    17778292 |    17631345
    num misses                     |    16305963 |    16628759 |    16668050 |    16432213 |    16661126 |    16623185 |    16684892 |    16381413
    miss rate                      |      92.44% |      93.61% |      93.79% |      93.00% |      93.78% |      93.62% |      93.85% |      92.91%
    mpki                           |       65.22 |       66.52 |       66.67 |       65.73 |       66.64 |       66.49 |       66.74 |       65.53
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    58309885 |    41326911 |    43414189 |    41779231 |    41626636 |    41903813 |    41419426 |    72942848
    num cache misses               |     5371310 |     5378660 |     5375455 |     5383128 |     5381981 |     5383906 |     5385436 |     5392423
    miss rate                      |       9.21% |      13.01% |      12.38% |      12.88% |      12.93% |      12.85% |      13.00% |       7.39%
    mpki                           |       21.49 |       21.51 |       21.50 |       21.53 |       21.53 |       21.54 |       21.54 |       21.57
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    82433855 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     7543145 |     8710866 |     9604228 |    10075196 |     9945838 |     9498657 |     8587220 |     7481970
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     9610309 |    10792026 |    11086935 |    11052084 |    10967561 |    10841300 |    10585841 |    10044299
