                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999934 |   249999953 |   249999915 |   249999953 |   249999932 |   249999934 |   249999953 |   249999951
  Cycles                           |  2636682100 |  2636682100 |  2636682100 |  2636682100 |  2636682100 |  2636682100 |  2636682100 |  2636682100
  IPC                              |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09 |        0.09
  Time (ns)                        |  1014108500 |  1014108500 |  1014108500 |  1014108500 |  1014108500 |  1014108500 |  1014108500 |  1014108500
  Idle time (ns)                   |        -101 |        -100 |         -33 |        -103 |        -101 |        -100 |        -101 |        -100
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    52085455 |    52085458 |    52085430 |    52085456 |    52085441 |    52085455 |    52085455 |    52085448
  num incorrect                    |     4993948 |     4993949 |     4993948 |     4993948 |     4993948 |     4993948 |     4993948 |     4993948
  misprediction rate               |       8.75% |       8.75% |       8.75% |       8.75% |       8.75% |       8.75% |       8.75% |       8.75%
  mpki                             |       19.98 |       19.98 |       19.98 |       19.98 |       19.98 |       19.98 |       19.98 |       19.98
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    28741195 |    28741196 |    28741184 |    28741195 |    28741189 |    28741195 |    28741195 |    28741192
    num misses                     |          24 |          18 |          18 |          24 |          24 |          24 |          24 |          24
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   114846449 |   114846455 |   114846405 |   114846449 |   114846421 |   114846447 |   114846447 |   114846433
    num misses                     |    21027579 |    20897124 |    21038072 |    21039383 |    21364429 |    20881890 |    20894853 |    21044146
    miss rate                      |      18.31% |      18.20% |      18.32% |      18.32% |      18.60% |      18.18% |      18.19% |      18.32%
    mpki                           |       84.11 |       83.59 |       84.15 |       84.16 |       85.46 |       83.53 |       83.58 |       84.18
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    21027603 |    20897142 |    21038090 |    21039407 |    21364453 |    20881914 |    20894877 |    21044170
    num misses                     |    19397006 |    19140939 |    19505734 |    19505883 |    20071925 |    19216453 |    19142021 |    19450988
    miss rate                      |      92.25% |      91.60% |      92.72% |      92.71% |      93.95% |      92.02% |      91.61% |      92.43%
    mpki                           |       77.59 |       76.56 |       78.02 |       78.02 |       80.29 |       76.87 |       76.57 |       77.80
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    63602764 |    48807634 |    48826888 |    49389430 |    49867563 |    50032703 |    49714923 |    51459521
    num cache misses               |     6354318 |     6358026 |     6354598 |     6366025 |     6368993 |     6366450 |     6374226 |     6376783
    miss rate                      |       9.99% |      13.03% |      13.01% |      12.89% |      12.77% |      12.72% |      12.82% |      12.39%
    mpki                           |       25.42 |       25.43 |       25.42 |       25.46 |       25.48 |       25.47 |       25.50 |       25.51
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    94563078 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     8861013 |    10348961 |    11282382 |    11820433 |    11680700 |    11426811 |    10526820 |     8932217
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     7472635 |     8549635 |     9078190 |     9342936 |     9282726 |     8940626 |     8290401 |     7078567
