                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   250000046 |   250000008 |   250000046 |   250000012 |   250000070 |   250000046 |   250000078 |   249999913
  Cycles                           |  2512319420 |  2512319420 |  2512319420 |  2512319420 |  2512319420 |  2512319420 |  2512319420 |  2512319420
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   966276700 |   966276700 |   966276700 |   966276700 |   966276700 |   966276700 |   966276700 |   966276700
  Idle time (ns)                   |        -221 |        -310 |        -233 |        -190 |        -258 |        -195 |        -304 |         -83
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    47308287 |    47308287 |    47308287 |    47308287 |    47308287 |    47308287 |    47308287 |    47308272
  num incorrect                    |     5069383 |     5069383 |     5069383 |     5069383 |     5069383 |     5069383 |     5069383 |     5069381
  misprediction rate               |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68% |       9.68%
  mpki                             |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28 |       20.28
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    38705463 |    38705463 |    38705463 |    38705463 |    38705463 |    38705463 |    38705463 |    38705452
    num misses                     |          16 |          22 |          22 |          16 |          16 |          16 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   126228039 |   126228032 |   126228039 |   126228032 |   126228040 |   126228039 |   126228040 |   126227980
    num misses                     |    17717623 |    17755152 |    17718442 |    17772166 |    17711321 |    17646600 |    17649237 |    17759932
    miss rate                      |      14.04% |      14.07% |      14.04% |      14.08% |      14.03% |      13.98% |      13.98% |      14.07%
    mpki                           |       70.87 |       71.02 |       70.87 |       71.09 |       70.85 |       70.59 |       70.60 |       71.04
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    17717639 |    17755174 |    17718464 |    17772182 |    17711337 |    17646616 |    17649259 |    17759954
    num misses                     |    16527652 |    16596258 |    16542085 |    16670033 |    16513273 |    16360580 |    16358932 |    16622060
    miss rate                      |      93.28% |      93.47% |      93.36% |      93.80% |      93.24% |      92.71% |      92.69% |      93.59%
    mpki                           |       66.11 |       66.39 |       66.17 |       66.68 |       66.05 |       65.44 |       65.44 |       66.49
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    58272487 |    41295659 |    43386556 |    41756908 |    41609101 |    41885851 |    41395631 |    72916371
    num cache misses               |     5376051 |     5388738 |     5386783 |     5395432 |     5395684 |     5394352 |     5398161 |     5398499
    miss rate                      |       9.23% |      13.05% |      12.42% |      12.92% |      12.97% |      12.88% |      13.04% |       7.40%
    mpki                           |       21.50 |       21.55 |       21.55 |       21.58 |       21.58 |       21.58 |       21.59 |       21.59
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    82514919 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     7464566 |     8722644 |     9695262 |    10019497 |     9980483 |     9563997 |     8660231 |     7424532
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     9574184 |    10814906 |    11105010 |    11090347 |    10977533 |    10834263 |    10584859 |    10050947
