                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   250000039 |   249999956 |   249999956 |   250000034 |   250000045 |   250000034 |   250000034 |   249999929
  Cycles                           |  2513466540 |  2513466540 |  2513466540 |  2513466540 |  2513466540 |  2513466540 |  2513466540 |  2513466540
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   966717900 |   966717900 |   966717900 |   966717900 |   966717900 |   966717900 |   966717900 |   966717900
  Idle time (ns)                   |        -227 |        -101 |        -101 |        -220 |        -406 |        -223 |        -245 |         -41
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    54184121 |    54184107 |    54184107 |    54184121 |    54184121 |    54184121 |    54184121 |    54184107
  num incorrect                    |     3611051 |     3611050 |     3611050 |     3611051 |     3611051 |     3611051 |     3611051 |     3611050
  misprediction rate               |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25%
  mpki                             |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    26318658 |    26318653 |    26318653 |    26318658 |    26318658 |    26318658 |    26318658 |    26318652
    num misses                     |          29 |          29 |          29 |          29 |          22 |          29 |          29 |          29
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    98867182 |    98867157 |    98867157 |    98867182 |    98867182 |    98867182 |    98867182 |    98867157
    num misses                     |    19452743 |    17768177 |    19325406 |    17903440 |    19015098 |    19446206 |    17845575 |    19309145
    miss rate                      |      19.68% |      17.97% |      19.55% |      18.11% |      19.23% |      19.67% |      18.05% |      19.53%
    mpki                           |       77.81 |       71.07 |       77.30 |       71.61 |       76.06 |       77.78 |       71.38 |       77.24
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    19452772 |    17768206 |    19325435 |    17903469 |    19015120 |    19446235 |    17845604 |    19309174
    num misses                     |    16287394 |    15135225 |    16121907 |    15142612 |    15991183 |    16274459 |    15495116 |    16020565
    miss rate                      |      83.73% |      85.18% |      83.42% |      84.58% |      84.10% |      83.69% |      86.83% |      82.97%
    mpki                           |       65.15 |       60.54 |       64.49 |       60.57 |       63.96 |       65.10 |       61.98 |       64.08
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    37974622 |    38092056 |    38011924 |    53218394 |    46707278 |    38076039 |    45850776 |    38099920
    num cache misses               |     4365008 |     4366533 |     4370107 |     4365659 |     4369745 |     4366911 |     4371720 |     4371187
    miss rate                      |      11.49% |      11.46% |      11.50% |       8.20% |       9.36% |      11.47% |       9.53% |      11.47%
    mpki                           |       17.46 |       17.47 |       17.48 |       17.46 |       17.48 |       17.47 |       17.49 |       17.48
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    57566829 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     4924703 |     6816843 |     7510689 |     8467635 |     8023211 |     7396596 |     6577893 |     5021812
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4163756 |     6701873 |     7928444 |     9079824 |     8726949 |     8093078 |     6600437 |     4328631
