                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   250000045 |   250000045 |   249999956 |   249999956 |   249999959 |   249999956 |   250000043 |   249999956
  Cycles                           |  2505106240 |  2505106240 |  2505106240 |  2505106240 |  2505106240 |  2505106240 |  2505106240 |  2505106240
  IPC                              |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10 |        0.10
  Time (ns)                        |   963502400 |   963502400 |   963502400 |   963502400 |   963502400 |   963502400 |   963502400 |   963502400
  Idle time (ns)                   |        -307 |        -578 |        -100 |        -101 |        -101 |        -101 |        -326 |         -34
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    54184121 |    54184121 |    54184107 |    54184107 |    54184107 |    54184107 |    54184121 |    54184107
  num incorrect                    |     3611051 |     3611051 |     3611050 |     3611050 |     3611050 |     3611050 |     3611051 |     3611050
  misprediction rate               |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25% |       6.25%
  mpki                             |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44 |       14.44
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    26318658 |    26318658 |    26318653 |    26318653 |    26318653 |    26318653 |    26318658 |    26318652
    num misses                     |          29 |          29 |          29 |          29 |          29 |          29 |          29 |          29
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    98867182 |    98867182 |    98867157 |    98867157 |    98867159 |    98867157 |    98867182 |    98867157
    num misses                     |    17906118 |    18920566 |    18375715 |    17816018 |    17872686 |    19441531 |    19268322 |    17701075
    miss rate                      |      18.11% |      19.14% |      18.59% |      18.02% |      18.08% |      19.66% |      19.49% |      17.90%
    mpki                           |       71.62 |       75.68 |       73.50 |       71.26 |       71.49 |       77.77 |       77.07 |       70.80
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    17906147 |    18920595 |    18375744 |    17816047 |    17872715 |    19441560 |    19268351 |    17701104
    num misses                     |    15406963 |    15721290 |    15789194 |    15615509 |    15309143 |    16286863 |    16041305 |    14917052
    miss rate                      |      86.04% |      83.09% |      85.92% |      87.65% |      85.66% |      83.77% |      83.25% |      84.27%
    mpki                           |       61.63 |       62.89 |       63.16 |       62.46 |       61.24 |       65.15 |       64.17 |       59.67
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    37962615 |    38077589 |    37992206 |    53113474 |    46760356 |    38041480 |    45971863 |    38069856
    num cache misses               |     4366224 |     4368768 |     4372363 |     4367890 |     4368760 |     4370110 |     4366924 |     4368132
    miss rate                      |      11.50% |      11.47% |      11.51% |       8.22% |       9.34% |      11.49% |       9.50% |      11.47%
    mpki                           |       17.46 |       17.48 |       17.49 |       17.47 |       17.48 |       17.48 |       17.47 |       17.47
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    57565865 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     5130126 |     6473995 |     7675423 |     8092285 |     8166779 |     7281337 |     6484907 |     5435420
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4363176 |     6301901 |     7977516 |     8879028 |     8710194 |     7917228 |     6438186 |     4707862
