                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   250000071 |   249999999 |   250000077 |   250000077 |   250000077 |   250000071 |   249999960 |   249999961
  Cycles                           |  1667082820 |  1667082820 |  1667082820 |  1667082820 |  1667082820 |  1667082820 |  1667082820 |  1667082820
  IPC                              |        0.15 |        0.15 |        0.15 |        0.15 |        0.15 |        0.15 |        0.15 |        0.15
  Time (ns)                        |   641185700 |   641185700 |   641185700 |   641185700 |   641185700 |   641185700 |   641185700 |   641185700
  Idle time (ns)                   |        -344 |        -103 |        -222 |        -419 |        -307 |        -383 |         -33 |        -102
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    50845338 |    50845337 |    50845338 |    50845338 |    50845338 |    50845338 |    50845321 |    50845321
  num incorrect                    |      619852 |      619852 |      619852 |      619852 |      619852 |      619852 |      619850 |      619850
  misprediction rate               |       1.20% |       1.20% |       1.20% |       1.20% |       1.20% |       1.20% |       1.20% |       1.20%
  mpki                             |        2.48 |        2.48 |        2.48 |        2.48 |        2.48 |        2.48 |        2.48 |        2.48
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    26511363 |    26511362 |    26511363 |    26511363 |    26511363 |    26511363 |    26511353 |    26511353
    num misses                     |          22 |          22 |          22 |          22 |          22 |          22 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   110841404 |   110841384 |   110841404 |   110841404 |   110841404 |   110841404 |   110841358 |   110841359
    num misses                     |     6972079 |     7014895 |     7085504 |     6983103 |     6901426 |     7044154 |     6990675 |     6942091
    miss rate                      |       6.29% |       6.33% |       6.39% |       6.30% |       6.23% |       6.36% |       6.31% |       6.26%
    mpki                           |       27.89 |       28.06 |       28.34 |       27.93 |       27.61 |       28.18 |       27.96 |       27.77
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     6972101 |     7014917 |     7085526 |     6983125 |     6901448 |     7044176 |     6990697 |     6942113
    num misses                     |     6529232 |     6525325 |     6684603 |     6531578 |     6356823 |     6608128 |     6542393 |     6457558
    miss rate                      |      93.65% |      93.02% |      94.34% |      93.53% |      92.11% |      93.81% |      93.59% |      93.02%
    mpki                           |       26.12 |       26.10 |       26.74 |       26.13 |       25.43 |       26.43 |       26.17 |       25.83
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    31702959 |    31613146 |    31555318 |    32126843 |    31732643 |    41437530 |    31568392 |    31592412
    num cache misses               |     2380040 |     2381425 |     2381067 |     2382275 |     2384146 |     2383421 |     2385057 |     2392404
    miss rate                      |       7.51% |       7.53% |       7.55% |       7.42% |       7.51% |       5.75% |       7.56% |       7.57%
    mpki                           |        9.52 |        9.53 |        9.52 |        9.53 |        9.54 |        9.53 |        9.54 |        9.57
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    76343887 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     4784816 |     6339600 |     6217242 |     6091634 |     6320544 |     6001877 |     5864380 |     5755028
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |    10254338 |    10260609 |    10415796 |    10696113 |    10682026 |    10646583 |    10384989 |    10176504
