                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  249971115 |  250009790 |  250009815 |  250009707 |  250009894 |  250009752 |  250005493 |  250010009
  Cycles                           |  425858420 |  425858420 |  425858420 |  425858420 |  425858420 |  425858420 |  425858420 |  425858420
  IPC                              |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                        |  163791700 |  163791700 |  163791700 |  163791700 |  163791700 |  163791700 |  163791700 |  163791700
  Idle time (ns)                   |       -103 |        -22 |         -7 |        -72 |       -100 |        -39 |       -104 |       -103
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   19615390 |   19618379 |   19618381 |   19618372 |   19618387 |   19618375 |   19618047 |   19618396
  num incorrect                    |      55922 |      55922 |      55922 |      55922 |      55922 |      55922 |      55922 |      55922
  misprediction rate               |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28%
  mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |     315057 |     315103 |     315103 |     315103 |     315103 |     315103 |     315099 |     315103
    num misses                     |          1 |          1 |          1 |          1 |          1 |          1 |          1 |          1
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   76353524 |   76365394 |   76365395 |   76365367 |   76365426 |   76365376 |   76364070 |   76365459
    num misses                     |   19691322 |   19482661 |   19569810 |   19647086 |   19635779 |   19477032 |   19540451 |   19490186
    miss rate                      |     25.79% |     25.51% |     25.63% |     25.73% |     25.71% |     25.51% |     25.59% |     25.52%
    mpki                           |      78.77 |      77.93 |      78.28 |      78.59 |      78.54 |      77.91 |      78.16 |      77.96
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |   19691323 |   19482662 |   19569811 |   19647087 |   19635780 |   19477033 |   19540452 |   19490187
    num misses                     |   17760239 |   17396624 |   17613276 |   17762921 |   17828455 |   17331869 |   17755561 |   17466312
    miss rate                      |     90.19% |     89.29% |     90.00% |     90.41% |     90.80% |     88.99% |     90.87% |     89.62%
    mpki                           |      71.05 |      69.58 |      70.45 |      71.05 |      71.31 |      69.32 |      71.02 |      69.86
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   20255861 |   19653174 |   19479565 |   19458577 |   19511101 |   19373218 |   19766589 |   19491110
    num cache misses               |     132546 |     129300 |     128195 |     128607 |     128292 |     127721 |     128485 |     127966
    miss rate                      |      0.65% |      0.66% |      0.66% |      0.66% |      0.66% |      0.66% |      0.65% |      0.66%
    mpki                           |       0.53 |       0.52 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   28565751 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |      37281 |    1665801 |    2659481 |    3166557 |    3155856 |    2930106 |    1579483 |     537302
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |   22644929 |   16937380 |   14076641 |   13280231 |   13357478 |   13807751 |   17582196 |   22022148
