                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   249999878 |   249999911 |   249999932 |   249999930 |   249999911 |   249999913 |   249999911 |   249999792
  Cycles                           |  2126654140 |  2126654140 |  2126654140 |  2126654140 |  2126654140 |  2126654140 |  2126654140 |  2126654140
  IPC                              |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12
  Time (ns)                        |   817943900 |   817943900 |   817943900 |   817943900 |   817943900 |   817943900 |   817943900 |   817943900
  Idle time (ns)                   |        -100 |        -131 |        -100 |        -126 |        -121 |        -137 |        -105 |         -31
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    46727033 |    46727041 |    46727044 |    46727044 |    46727041 |    46727042 |    46727041 |    46727015
  num incorrect                    |     1521785 |     1521785 |     1521785 |     1521785 |     1521785 |     1521785 |     1521785 |     1521785
  misprediction rate               |       3.15% |       3.15% |       3.15% |       3.15% |       3.15% |       3.15% |       3.15% |       3.15%
  mpki                             |        6.09 |        6.09 |        6.09 |        6.09 |        6.09 |        6.09 |        6.09 |        6.09
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    31450935 |    31450939 |    31450942 |    31450942 |    31450939 |    31450939 |    31450939 |    31450924
    num misses                     |          17 |          17 |          17 |          14 |          17 |          17 |          14 |          17
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   107117472 |   107117488 |   107117494 |   107117497 |   107117488 |   107117491 |   107117488 |   107117438
    num misses                     |    15564077 |    15509583 |    15533614 |    15115897 |    15324576 |    15104759 |    15275767 |    15497793
    miss rate                      |      14.53% |      14.48% |      14.50% |      14.11% |      14.31% |      14.10% |      14.26% |      14.47%
    mpki                           |       62.26 |       62.04 |       62.13 |       60.46 |       61.30 |       60.42 |       61.10 |       61.99
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    15564094 |    15509600 |    15533631 |    15115911 |    15324593 |    15104776 |    15275781 |    15497810
    num misses                     |    15128984 |    15099841 |    15122343 |    14716590 |    14908127 |    14707182 |    14833822 |    15089121
    miss rate                      |      97.20% |      97.36% |      97.35% |      97.36% |      97.28% |      97.37% |      97.11% |      97.36%
    mpki                           |       60.52 |       60.40 |       60.49 |       58.87 |       59.63 |       58.83 |       59.34 |       60.36
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    43960030 |    44084687 |    43955493 |    49728863 |    49127166 |    43961951 |    44029494 |    44044257
    num cache misses               |     5805798 |     5807304 |     5808993 |     5808183 |     5811328 |     5804319 |     5811029 |     5801064
    miss rate                      |      13.21% |      13.17% |      13.22% |      11.68% |      11.83% |      13.20% |      13.20% |      13.17%
    mpki                           |       23.22 |       23.23 |       23.24 |       23.23 |       23.25 |       23.22 |       23.24 |       23.20
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    74571818 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     7048693 |     8621028 |     9770123 |    10411972 |    10011993 |     9830307 |     8820385 |     6372087
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4094009 |     6152832 |     7515065 |     8109425 |     7811582 |     7400695 |     6167048 |     3444836
