                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  250000190 |  250000160 |  250000190 |  250000160 |  250000160 |  249999983 |  250000160 |  250000190
  Cycles                           |  660695360 |  660695360 |  660695360 |  660695360 |  660695360 |  660695360 |  660695360 |  660695360
  IPC                              |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38 |       0.38
  Time (ns)                        |  254113600 |  254113600 |  254113600 |  254113600 |  254113600 |  254113600 |  254113600 |  254113600
  Idle time (ns)                   |       -272 |       -101 |       -236 |       -100 |       -100 |        -34 |       -101 |       -392
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   83859458 |   83859440 |   83859458 |   83859440 |   83859440 |   83859388 |   83859440 |   83859458
  num incorrect                    |   10380898 |   10380896 |   10380898 |   10380896 |   10380896 |   10380885 |   10380896 |   10380898
  misprediction rate               |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02% |     11.02%
  mpki                             |      41.52 |      41.52 |      41.52 |      41.52 |      41.52 |      41.52 |      41.52 |      41.52
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   40234664 |   40234659 |   40234664 |   40234659 |   40234659 |   40234637 |   40234659 |   40234664
    num misses                     |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   86801465 |   86801437 |   86801465 |   86801437 |   86801437 |   86801379 |   86801437 |   86801465
    num misses                     |    1779281 |    1761796 |    1775725 |    1785940 |    1776200 |    1769001 |    1778540 |    1759100
    miss rate                      |      2.05% |      2.03% |      2.05% |      2.06% |      2.05% |      2.04% |      2.05% |      2.03%
    mpki                           |       7.12 |       7.05 |       7.10 |       7.14 |       7.10 |       7.08 |       7.11 |       7.04
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |    1779283 |    1761798 |    1775727 |    1785942 |    1776202 |    1769003 |    1778542 |    1759102
    num misses                     |    1716952 |    1686217 |    1715023 |    1733284 |    1713677 |    1711322 |    1717924 |    1682157
    miss rate                      |     96.50% |     95.71% |     96.58% |     97.05% |     96.48% |     96.74% |     96.59% |     95.63%
    mpki                           |       6.87 |       6.74 |       6.86 |       6.93 |       6.85 |       6.85 |       6.87 |       6.73
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    9543677 |    9646592 |    9719171 |    9774306 |    9870297 |    9921895 |   10011851 |   10179393
    num cache misses               |     567816 |     571637 |     573652 |     574215 |     577917 |     579367 |     580607 |     584379
    miss rate                      |      5.95% |      5.93% |      5.90% |      5.87% |      5.86% |      5.84% |      5.80% |      5.74%
    mpki                           |       2.27 |       2.29 |       2.29 |       2.30 |       2.31 |       2.32 |       2.32 |       2.34
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   13766330 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     859133 |    1078960 |    1195663 |    1249613 |    1252852 |    1193336 |    1058341 |     883195
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    1158995 |    1276344 |    1356855 |    1394560 |    1381735 |    1339597 |    1260517 |    1123706
