                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  249999995 |  250000327 |  250000030 |  250000327 |  250000017 |  250000328 |  249999936 |  250000328
  Cycles                           |  385993660 |  385993660 |  385993660 |  385993660 |  385993660 |  385993660 |  385993660 |  385993660
  IPC                              |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65
  Time (ns)                        |  148459100 |  148459100 |  148459100 |  148459100 |  148459100 |  148459100 |  148459100 |  148459100
  Idle time (ns)                   |       -101 |       -121 |       -102 |       -158 |       -103 |       -102 |         -3 |       -103
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   17059544 |   17059576 |   17059568 |   17059576 |   17059568 |   17059578 |   17059521 |   17059578
  num incorrect                    |     626087 |     626089 |     626087 |     626089 |     626087 |     626089 |     626084 |     626089
  misprediction rate               |      3.54% |      3.54% |      3.54% |      3.54% |      3.54% |      3.54% |      3.54% |      3.54%
  mpki                             |       2.50 |       2.50 |       2.50 |       2.50 |       2.50 |       2.50 |       2.50 |       2.50
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   24744591 |   24744617 |   24744599 |   24744617 |   24744599 |   24744620 |   24744583 |   24744621
    num misses                     |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |   77701023 |   77701097 |   77701046 |   77701097 |   77701045 |   77701098 |   77701005 |   77701098
    num misses                     |    4060175 |    4125737 |    4174628 |    4141928 |    4141823 |    4158310 |    4141800 |    4082635
    miss rate                      |      5.23% |      5.31% |      5.37% |      5.33% |      5.33% |      5.35% |      5.33% |      5.25%
    mpki                           |      16.24 |      16.50 |      16.70 |      16.57 |      16.57 |      16.63 |      16.57 |      16.33
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |    4060203 |    4125765 |    4174656 |    4141956 |    4141851 |    4158338 |    4141828 |    4082663
    num misses                     |    3585490 |    3687152 |    3758997 |    3709351 |    3709045 |    3734326 |    3708949 |    3640121
    miss rate                      |     88.31% |     89.37% |     90.04% |     89.56% |     89.55% |     89.80% |     89.55% |     89.16%
    mpki                           |      14.34 |      14.75 |      15.04 |      14.84 |      14.84 |      14.94 |      14.84 |      14.56
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |    9448527 |    9115251 |   10161472 |    9556714 |    9642784 |    9847734 |    9880042 |   11273051
    num cache misses               |      84008 |      83942 |      84217 |      84440 |      84607 |      83778 |      84226 |      84509
    miss rate                      |      0.89% |      0.92% |      0.83% |      0.88% |      0.88% |      0.85% |      0.85% |      0.75%
    mpki                           |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |    5599772 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |     287047 |     551533 |     798470 |     946419 |     972555 |     851573 |     587254 |     319354
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |    2225579 |    2813138 |    3264057 |    3445963 |    3483402 |    3410542 |    2933656 |    2355205
