                                   | Core 0      
  Instructions                     |    799999981
  Cycles                           |  21928649860
  IPC                              |         0.04
  Time (ns)                        |   8434096100
  Idle time (ns)                   |          -91
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    171365887
  num incorrect                    |     10526845
  misprediction rate               |        5.79%
  mpki                             |        13.16
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     82189007
    num misses                     |           27
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    320445721
    num misses                     |     56957316
    miss rate                      |       17.77%
    mpki                           |        71.20
  L2 TLB                           |             
    num accesses                   |     56957343
    num misses                     |     47088972
    miss rate                      |       82.67%
    mpki                           |        58.86
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    388292533
    num cache misses               |     96441701
    miss rate                      |       24.84%
    mpki                           |       120.55
DRAM summary                       |             
  num dram accesses                |    343757424
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    264782863
  num loads from dram cache        |            0
  num loads from remote cache      |            0
