                                   | Core 0      
  Instructions                     |    799999981
  Cycles                           |  21940176700
  IPC                              |         0.04
  Time (ns)                        |   8438529500
  Idle time (ns)                   |          -17
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    171365887
  num incorrect                    |     10526845
  misprediction rate               |        5.79%
  mpki                             |        13.16
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     82189007
    num misses                     |           27
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    320445721
    num misses                     |     56955935
    miss rate                      |       17.77%
    mpki                           |        71.19
  L2 TLB                           |             
    num accesses                   |     56955962
    num misses                     |     47092279
    miss rate                      |       82.68%
    mpki                           |        58.87
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    388247815
    num cache misses               |     96430217
    miss rate                      |       24.84%
    mpki                           |       120.54
DRAM summary                       |             
  num dram accesses                |    343718121
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    264764955
  num loads from dram cache        |            0
  num loads from remote cache      |            0
