                                   | Core 0     
  Instructions                     |   799999803
  Cycles                           |  2920515780
  IPC                              |        0.27
  Time (ns)                        |  1123275300
  Idle time (ns)                   |          -9
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    62128092
  num incorrect                    |       55922
  misprediction rate               |       0.09%
  mpki                             |        0.07
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |      974169
    num misses                     |           1
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   245086106
    num misses                     |    63702187
    miss rate                      |      25.99%
    mpki                           |       79.63
  L2 TLB                           |            
    num accesses                   |    63702188
    num misses                     |    57024715
    miss rate                      |      89.52%
    mpki                           |       71.28
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   343815370
    num cache misses               |   108315902
    miss rate                      |      31.50%
    mpki                           |      135.39
DRAM summary                       |            
  num dram accesses                |   265165918
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   185266611
  num loads from dram cache        |           0
  num loads from remote cache      |           0
