                                   | Core 0      
  Instructions                     |    799999907
  Cycles                           |  13606189220
  IPC                              |         0.06
  Time (ns)                        |   5233149700
  Idle time (ns)                   |          -60
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    157350255
  num incorrect                    |      3218716
  misprediction rate               |        2.00%
  mpki                             |         4.02
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     97585940
    num misses                     |           14
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    341366082
    num misses                     |     55984668
    miss rate                      |       16.40%
    mpki                           |        69.98
  L2 TLB                           |             
    num accesses                   |     55984682
    num misses                     |     54501192
    miss rate                      |       97.35%
    mpki                           |        68.13
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    319705429
    num cache misses               |     74427633
    miss rate                      |       23.28%
    mpki                           |        93.03
DRAM summary                       |             
  num dram accesses                |    309176421
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    245689037
  num loads from dram cache        |            0
  num loads from remote cache      |            0
