                                   | Core 0     
  Instructions                     |   799999893
  Cycles                           |  6603054640
  IPC                              |        0.12
  Time (ns)                        |  2539636400
  Idle time (ns)                   |         -80
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    54601699
  num incorrect                    |     1990623
  misprediction rate               |       3.52%
  mpki                             |        2.49
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    79181600
    num misses                     |          28
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   248608049
    num misses                     |    13165191
    miss rate                      |       5.30%
    mpki                           |       16.46
  L2 TLB                           |            
    num accesses                   |    13165219
    num misses                     |    11804283
    miss rate                      |      89.66%
    mpki                           |       14.76
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   173802065
    num cache misses               |    15239236
    miss rate                      |       8.77%
    mpki                           |       19.05
DRAM summary                       |            
  num dram accesses                |   147030653
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    72721767
  num loads from dram cache        |           0
  num loads from remote cache      |           0
