                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    502058974 |    507111721 |    499199995 |    491644201
  Cycles                           |  30948110180 |  30948110180 |  30948110180 |  30948110180
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |  11903119300 |  11903119300 |  11903119300 |  11903119300
  Idle time (ns)                   |         -398 |         -365 |          -51 |         -139
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     98110566 |     99141942 |     97526252 |     95981613
  num incorrect                    |     11992638 |     12141718 |     11908561 |     11687406
  misprediction rate               |       10.89% |       10.91% |       10.88% |       10.85%
  mpki                             |        23.89 |        23.94 |        23.86 |        23.77
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     77359337 |     78096461 |     76942094 |     75833955
    num misses                     |           22 |           22 |           22 |           22
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    248771208 |    251199149 |    247398379 |    243767759
    num misses                     |     37986455 |     38357424 |     37682899 |     37301242
    miss rate                      |       15.27% |       15.27% |       15.23% |       15.30%
    mpki                           |        75.66 |        75.64 |        75.49 |        75.87
  L2 TLB                           |              |              |              |             
    num accesses                   |     37986477 |     38357446 |     37682921 |     37301264
    num misses                     |     35612059 |     35753663 |     35354430 |     35064583
    miss rate                      |       93.75% |       93.21% |       93.82% |       94.00%
    mpki                           |        70.93 |        70.50 |        70.82 |        71.32
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    261069376 |    264438845 |    190634008 |    269640539
    num cache misses               |     65320926 |     65825080 |     64923919 |     64717650
    miss rate                      |       25.02% |       24.89% |       34.06% |       24.00%
    mpki                           |       130.64 |       131.65 |       129.85 |       129.43
DRAM summary                       |              |              |              |             
  num dram accesses                |    773596037 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    145153966 |    146118549 |    145217321 |    142439772
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     15300068 |     15375752 |     15239772 |     15046308
