                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    495894217 |    502238628 |    506246845 |    495639982
  Cycles                           |  29394681160 |  29394681160 |  29394681160 |  29394681160
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |  11305646600 |  11305646600 |  11305646600 |  11305646600
  Idle time (ns)                   |         -101 |         -105 |         -103 |          -70
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    106598290 |    108033850 |    108904296 |    106531175
  num incorrect                    |      7070354 |      7138901 |      7184887 |      7068909
  misprediction rate               |        6.22% |        6.20% |        6.19% |        6.22%
  mpki                             |        14.26 |        14.21 |        14.19 |        14.26
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     51868802 |     52541104 |     52955161 |     51839105
    num misses                     |           27 |           27 |           27 |           27
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    198037036 |    200472120 |    202047338 |    197948687
    num misses                     |     36832393 |     36700014 |     34696860 |     36089057
    miss rate                      |       18.60% |       18.31% |       17.17% |       18.23%
    mpki                           |        74.27 |        73.07 |        68.54 |        72.81
  L2 TLB                           |              |              |              |             
    num accesses                   |     36832420 |     36700041 |     34696887 |     36089084
    num misses                     |     30458522 |     30090928 |     30113078 |     30185693
    miss rate                      |       82.69% |       81.99% |       86.79% |       83.64%
    mpki                           |        61.42 |        59.91 |        59.48 |        60.90
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    233220941 |    204868534 |    208915901 |    239803781
    num cache misses               |     62983197 |     62736256 |     60981834 |     61992618
    miss rate                      |       27.01% |       30.62% |       29.19% |       25.85%
    mpki                           |       125.97 |       125.47 |       121.96 |       123.98
DRAM summary                       |              |              |              |             
  num dram accesses                |    727871919 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    139916273 |    140131951 |    141411592 |    138985985
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     14648603 |     14731177 |     14761075 |     14545815
